Page ID,Page name,Disclaimer,Amount spent (ARS),Number of ads in Library
130929705668,Municipalidad de Córdoba,Municipalidad de Córdoba,1391730,46
129799846687423,Levantémonos,Levantemonos,684954,118
2339859699626643,Hacemos Juntos por Córdoba,PJ Córdoba,560743,6
113962914977034,Somos FORJA,Somos Forja,519168,42
101321286190410,Avancemos Salta,Avancemos Salta,432967,58
108145258869282,Por amor a Salta,Por Amor a Salta,246707,37
113686738612,Gobierno de la Ciudad de Buenos Aires,Gobierno de la Ciudad de Buenos Aires,207583,41
813606588771959,CPC Ruta 20 Municba,municipalidad de córdoba,206580,9
138406616275954,Marcelo Orrego,Producción y Trabajo,201719,6
212404205842351,CPC Rancagua MuniCba,municipalidad de córdoba,194409,8
110079031997390,Con Larreta,Con Larreta,173593,40
113781658634572,Gustavo Sáenz,Gustavo Sáenz,169050,26
233792609964941,Municipio de Esteban Echeverría,Municipio de Esteban Echeverría,159825,10
429298067264790,Sergio Ziliotto,Partido Justicialista Distrito La Pampa,135638,76
116710934724411,Defendamos la Provincia,Defendamos la Provincia,111667,9
363825283650115,Vicente López,Vicente López,95516,10
103088924366000,Noticias d,Noticias d,94339,157
104856199182046,Gato Fernández,Gato Fernández,94304,3
112200072188893,Eduardo Cáceres,Eduardo Cáceres,88851,17
2000063456707351,Sole Balán,Dpto Creativo,87595,8
112581315023501,Carlos Sadir,Frente Cambia Jujuy,85199,7
320178711981750,Pablo Argañaraz,Pablo Argañaraz,85128,11
641948702550925,Catamarca Gobierno,Gobierno de Catamarca,84238,11
1662250880709156,Lanús Municipio,Lanús Municipio,81063,8
142473639655550,Lucio Paz Posse,Lucio Paz Posse,77865,11
134952823851842,CPC Colón MuniCba,municipalidad de córdoba,77861,4
1471624973068591,Bettina Romero,Bettina Romero,76376,5
121862207487348,La Ciudad Que Queremos,La ciudad que queremos,73580,13
513899261972162,Frente de Izquierda FIT,Frente de Izquierda,68173,26
101761569495985,Miguel Nanni 2023,Miguel Nanni 2023,67161,10
107862828349752,Tiempo de Córdoba,Tiempo de Córdoba,66875,33
1913468738912666,Beatriz Avila,Partido por la Justicia Social.org,64000,15
680986725302906,Roberto Mirabella,Hacemos Santa Fe,63634,13
