Location name,Amount spent (NGN)
Abia State,20567
Adamawa State,13448
Akwa Ibom State,73166
Anambra State,21955
Bauchi State,21786
Bayelsa State,3541
Benué State,10761
Borno State,16038
Cross River State,10927
Delta State,38226
Ebonyi State,4255
Edo State,16995
Ekiti State,4947
Enugu State,28871
Federal Capital Territory,55977
Gombe State,17550
Imo State,17262
Jigawa State,3308
Kaduna State,42438
Kano State,123666
Katsina State,10893
Kebbi State,4659
Kogi State,8579
Kwara State,13731
Lagos State,210606
Nasarawa State,7173
Niger State,12125
Ogun State,13059
Ondo State,8278
Osun State,10688
Oyo State,45320
Plateau State,20879
Rivers State,50035
Sokoto State,10045
Taraba State,6822
Unknown,151
Yobe State,5681
Zamfara State,4150
