Location name,Amount spent (EGP)
Al Sharqia Governorate,3523
Alexandria Governorate,4054
Aswan Governorate,617
Asyut Governorate,1304
Beheira Governorate,2072
Beni Suef Governorate,961
Cairo Governorate,12017
Dakahlia Governorate,4399
Damietta Governorate,1154
Faiyum Governorate,997
Gharbia Governorate,3281
Giza Governorate,3606
Ismailia Governorate,994
Kafr el-Sheikh Governorate,1649
Luxor Governorate,401
Matrouh Governorate,192
Minya Governorate,1549
Monufia Governorate,2402
New Valley Governorate,156
North Sinai Governorate,277
Port Said Governorate,899
Qalyubia Governorate,2438
Qena Governorate,922
Red Sea Governorate,397
Sohag Governorate,1543
South Sinai Governorate,180
Suez Governorate,522
Unknown,≤100
