Page ID,Page name,Disclaimer,Amount spent (SEK),Number of ads in Library
371791194529,Världsnaturfonden WWF,Världsnaturfonden WWF,24293,19
126567104406,Hyresgästföreningen,Hyresgästföreningen,22099,50
122854408319,Hjärt-Lungfonden,Hjärt-lungfonden,21310,24
643137272398136,Sverige för UNHCR,Sverige för UNHCR,16221,26
608975645850217,Vattenfall,Vattenfall Sverige,15355,25
369582590803,Dagens ETC,ETC-tidningarna,14162,39
72659261793,Rädda Barnen,Rädda Barnen,13627,82
151159271594797,Systembolaget,Systembolaget,11258,7
59324455950,UNICEF Sverige,UNICEF Sverige,10520,11
111630258867610,Röda Korset,Röda Korset,9707,38
161213770567846,Operation Smile Sverige,Operation Smile Sverige,8679,10
95735961890,Greenpeace Sverige,Greenpeace Sverige,8678,99
236879092476,Håll Sverige Rent,Håll Sverige Rent,8516,81
382243262003,Plan International Sverige,Plan International Sverige,8000,12
122074554119,EU Social,EU Social,7850,7
162985227114132,Skellefteå Kraft,Skellefteå Kraft,7657,11
179931025357058,Kommunal,Kommunal,6971,33
68115370786,Läkare Utan Gränser (MSF),Läkare Utan Gränser/ Médecins sans Frontières (MSF Sweden),6759,34
128452220525979,CIVIL RIGHTS DEFENDERS,CIVIL RIGHTS DEFENDERS,6115,9
18880778360,ActionAid Sweden,ActionAid Sweden,5082,9
205373616736,Avfall Sverige,Avfall Sverige,4937,13
101341883359561,Matsmart Sverige,Matsmart,4865,7
130927360876045,Tidningen Näringslivet,Tidningen Näringslivet,4841,41
19746853632,Djurens Rätt,Djurens Rätt,4362,5
109886133732943,RESCUE - Sverige,RESCUE - Sverige,4225,1
186513678039755,Fortum,Fortum Sverige,3666,20
133867976608,Naturskyddsföreningen,Naturskyddsföreningen,3341,8
130666626950917,Öresundskraft,Öresundskraft,3146,2
203547006337155,Göteborgs Stadsmission,Göteborgs Stadsmission,2690,9
440345132668081,UL,UL,2424,2
90882504375,Svenskt Näringsliv,Svenskt Näringsliv,2420,24
153028052500,Kvinna till Kvinna,Stiftelsen Kvinna till Kvinna,2200,6
193309030695120,UR,UR,2119,11
588111131243298,Sverigedemokraterna Hässleholm,Sverigedemokraterna Hässleholm,1827,4
153270724787,Amnesty International Sverige,Amnesty International Sverige,1810,13
188616781161573,World Animal Protection Sverige,World Animal Protection Sverige,1752,36
150057951690751,OKQ8,OKQ8,1642,4
118090278221826,Erikshjälpen,Erikshjälpen,1590,5
42676805259,Diakonia,Diakonia,1573,14
379686162129542,Svea Bank,Svea Ekonomi,1543,4
236221570038,BRIS: Barnens Rätt I Samhället,BRIS: Barnens Rätt I Samhället,1537,8
989752884508948,Muharrem Demirok,Centerpartiet,1483,2
276108117859,Svenska Afghanistankommittén,Svenska Afghanistankommittén,1427,34
899603916845362,JAG Personlig assistans,JAG Personlig assistans,1427,6
512800882149538,Region Västerbotten,Region Västerbotten,1411,10
314872662206,Ekonomifakta,Ekonomifakta,1390,66
369122343101775,e.on,E.ON Sverige AB,1294,1
676246449160270,Sverigedemokraterna,Sverigedemokraterna,1237,18
195379633820701,Svenskt Kött,Svenskt Kött,1143,15
234172635050,Forum för levande historia,Forum för levande historia,1130,8
111699453757094,Soft Towel Games,These ads ran without a disclaimer,1086,3
296423575695,Afrikagrupperna,Afrikagrupperna,1032,7
167036616661188,Sverigedemokraterna Malmö,Sverigedemokraterna Malmö,990,3
