Page ID,Page name,Disclaimer,Amount spent (TND),Number of ads in Library
141662475911566,Instance Supérieure Indépendante pour les Élections - ISIE,Instance Supérieure Indépendante pour les Élections - ISIE,2280,25
124252504303223,UNICEF (FR),UNICEF avec des crédits publicitaires Facebook,266,4
166178460072395,اليونيسف بالعربية - UNICEF in Arabic,اليونيسف باستخدام اعتمادات الإعلان على الفيسبوك,226,6
101416266129939,ياسين مامي - Yassine Mami,Hammamet Informatique Services,175,9
100457979591531,Moncef Bouzazi - منصف بوزازي,منصف بوزازي,142,3
472130523587683,Dhafer Sghiri - ظافر الصغيري,Dhafer Sghiri - ظافر الصغيري,133,3
109648084665010,انور الطعلوش الصفحة الرسمية,Kiwi Softwares,109,2
68793499001,UNICEF,UNICEF with Facebook Ad Credits,≤100,8
102885832661724,Said knioua,Mohamed Amine Belhadj Ahmed,≤100,3
101927629433565,الانتخابات التشريعية 2022 المرشح مهدي التومي,المهدي سويسي,≤100,1
102675465987487,برهان الدين الزغلامي  Zoughlami Borhen Eddine,حلمي بن محمد دليقة,≤100,2
842382659210666,Anis Mejri Hollywood,These ads ran without a disclaimer,≤100,1
603909653628455,أنور المرزوقي - Anouar Marzouki,These ads ran without a disclaimer,≤100,1
565225540184937,CGTN,These ads ran without a disclaimer,≤100,5
1352874084790500,Fresenius Kabi,These ads ran without a disclaimer,≤100,2
167878593236712,UNICEF en español,UNICEF con créditos publicitarios de Facebook,≤100,4
169687486427698,Jentezen Franklin,These ads ran without a disclaimer,≤100,1
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,1
101474672367263,YouthxYouth,These ads ran without a disclaimer,≤100,3
1509413712605916,ICAO - International Civil Aviation Organization,These ads ran without a disclaimer,≤100,1
108655461411377,Valter Studio,These ads ran without a disclaimer,≤100,1
105278319070638,1111_tdd,These ads ran without a disclaimer,≤100,1
1798900147035859,What The FAKE,These ads ran without a disclaimer,≤100,2
33575580843,Microsoft Research,These ads ran without a disclaimer,≤100,1
75608370019,United States Institute of Peace,These ads ran without a disclaimer,≤100,1
229584730414018,VenSai Enterprises Inc.,These ads ran without a disclaimer,≤100,1
56844830907,ESET,These ads ran without a disclaimer,≤100,1
303651683481268,Independent Arabia,These ads ran without a disclaimer,≤100,1
