Page ID,Page name,Disclaimer,Amount spent (ZAR),Number of ads in Library
136956534616,Times LIVE,TimesLIVE,1255,12
6011868110,Democratic Alliance,Democratic Alliance,1080,2
740116816003959,Western Cape Government,Western Cape Government,756,1
181204251979581,NEASA,National Employers' Association of South Africa,735,6
2145594122138312,Action Society,Action Society,514,4
478479492268974,Sunday Times ZA,Sunday Times,507,4
102265308016316,Al Jama-ah,Al Jama-ah,436,2
147301545821830,Vryheidsfront Plus Wes-Kaap / Freedom Front Plus Western Cape,Vryheidsfront Plus / Freedom Front Plus,434,7
107169379305548,TLU SA,TLU SA,360,5
187645864452,Vryheidsfront Plus / Freedom Front Plus,Vryheidsfront Plus / Freedom Front Plus,353,2
165736836881428,GroundUp,GroundUp News NPC,350,2
2215254718532346,Democratic Alliance - Northern Areas,Democratic Alliance,310,1
154110104637899,Mincon,These ads ran without a disclaimer,289,1
111455384155,Partners in Sexual Health,Hamlet Enrico Johannes,279,3
106172744063430,The Daily Friend,The Daily Friend,249,16
597918073626793,Democratic Alliance Free State,Democratic Alliance Free State,201,3
1479166275635514,Western Cape Provincial Parliament,Western Cape Provincial Parliament,200,1
105758608971668,Free Speech Union South Africa,Free Speech Union South Africa,159,6
113978755978036,DA Atlantic Seaboard Ward 54,Nicola Jowell,148,1
1742410059361710,AwakeMzansi,Awake Mzansi,141,1
103125711976531,spongybags,These ads ran without a disclaimer,136,1
817419378298114,Herman Mashaba,ActionSA,131,1
581475018952196,Good,GOOD Political Party,125,1
102765088210163,Action SA,ActionSA,123,5
858175014372321,VF Plus - Limpopo,Vryheidsfront Plus / Freedom Front Plus,119,1
165246196904704,Sakeliga,Sakeliga,118,1
107203148110541,Action Speaks Louder,These ads ran without a disclaimer,102,1
102516258668317,Siza Water,Fahim N Farzanah Dawood,≤100,2
379138726819,ACDP,African Christian Democratic Party,≤100,1
744318359371385,Pristine Earth Collective,Pristine Earth Collective,≤100,2
446648162438519,Thisisacumen,Acumen Media Management,≤100,1
123971017684407,HeraldLIVE - Nelson Mandela Bay,HeraldLIVE,≤100,4
217696894929887,FW de Klerk Foundation,FW de Klerk Foundation,≤100,1
1613030308842801,Democratic Alliance Western Cape,Democratic Alliance,≤100,2
153698181363705,Democratic Alliance Eastern Cape,Democratic Alliance,≤100,1
109136451414156,Educate Don't Indoctrinate,Educate Don't Indocrinate,≤100,5
171210352926508,Witbank News,These ads ran without a disclaimer,≤100,1
464995487566815,The Performance Agency,The Performance Agency,≤100,1
193173044040257,Tabitha Hume - Clinical Dietician,These ads ran without a disclaimer,≤100,1
748709935278469,Zelna Jansen Consultancy,Zelna Moira Jansen,≤100,2
311936835992045,Dear South Africa,DearSA,≤100,2
522040488002422,Babbel,These ads ran without a disclaimer,≤100,1
100374392742057,Weregreenly- Magazine,These ads ran without a disclaimer,≤100,3
225941290782035,Parliament of the Republic of South Africa,Parliament of the Republic of South Africa,≤100,1
120460525135389,Educational Partners International,These ads ran without a disclaimer,≤100,1
106709862208252,Sisi Ntombela 22,These ads ran without a disclaimer,≤100,1
207716982590230,Cipla,These ads ran without a disclaimer,≤100,1
100940495848440,Kano Cas COG,These ads ran without a disclaimer,≤100,1
189232005248268,CTG,These ads ran without a disclaimer,≤100,1
1891933867730555,"Fujian, China",These ads ran without a disclaimer,≤100,1
1196196390526965,Facebook Surveys,These ads ran without a disclaimer,≤100,4
285530825204,Klitschko,These ads ran without a disclaimer,≤100,3
167580079975960,Newnham Associates,These ads ran without a disclaimer,≤100,1
821430017924241,Sungrow,These ads ran without a disclaimer,≤100,1
194824897244836,Zayed Sustainability Prize,These ads ran without a disclaimer,≤100,1
101202352602558,Syncbox,These ads ran without a disclaimer,≤100,1
109126047248017,y.kerrysara,These ads ran without a disclaimer,≤100,1
