Location name,Amount spent (NGN)
Abia State,1566
Adamawa State,1368
Akwa Ibom State,1272
Anambra State,1117
Bauchi State,1117
Bayelsa State,1012
Benué State,3063
Borno State,1450
Cross River State,828
Delta State,3907
Ebonyi State,376
Edo State,6481
Ekiti State,537
Enugu State,983
Federal Capital Territory,17203
Gombe State,470
Imo State,724
Jigawa State,224
Kaduna State,5064
Kano State,7577
Katsina State,725
Kebbi State,233
Kogi State,801
Kwara State,2449
Lagos State,38278
Nasarawa State,931
Niger State,1731
Ogun State,1358
Ondo State,1491
Osun State,1694
Oyo State,9196
Plateau State,2414
Rivers State,3451
Sokoto State,2571
Taraba State,1032
Unknown,508
Yobe State,443
Zamfara State,582
