Location name,Amount spent (EGP)
Al Sharqia Governorate,3249
Alexandria Governorate,4428
Aswan Governorate,603
Asyut Governorate,1246
Beheira Governorate,2094
Beni Suef Governorate,859
Cairo Governorate,10177
Dakahlia Governorate,3367
Damietta Governorate,914
Faiyum Governorate,856
Gharbia Governorate,2695
Giza Governorate,2778
Ismailia Governorate,1010
Kafr el-Sheikh Governorate,1533
Luxor Governorate,388
Matrouh Governorate,158
Minya Governorate,1354
Monufia Governorate,1754
New Valley Governorate,333
North Sinai Governorate,295
Port Said Governorate,579
Qalyubia Governorate,2145
Qena Governorate,936
Red Sea Governorate,416
Sohag Governorate,1768
South Sinai Governorate,146
Suez Governorate,426
Unknown,≤100
