Page ID,Page name,Disclaimer,Amount spent (PLN),Number of ads in Library
63563473556,Gazeta Wyborcza,Gazeta Wyborcza,2174,54
102811109411234,Do:łącz,Dołącz,1702,11
196334343778888,Polskie Centrum Pomocy Międzynarodowej (PCPM),PCPM with Facebook ad credits,1468,36
1683534065241470,OKO.press,OKO.press,1130,38
339855706171439,Dobra Fabryka,Dobra Fabryka,1118,7
111778487054045,TOGETAIR,Kamil Magot,1064,29
165245993503617,Mercedes-Benz Polska,These ads ran without a disclaimer,1020,7
113143203693,Santander Bank Polska,Santander Bank Polska,964,5
107898832590939,European Commission,European Commission,804,4
469702339755768,Paweł Tanajno Polska Liberalna Strajk Przedsiębiorców,Iam4u.pl,759,162
1937461523203000,Fundacja Promocji Pojazdów Elektrycznych FPPE,Fundacja Promocji Pojazdów Elektrycznych,734,35
57544755889,Amnesty International Polska,Amnesty International Polska,698,39
1715196158626102,Operacja Czysta Rzeka,Operacjarzeka,569,10
178362315106,European Parliament,European Parliament,552,3
147547541961576,Council of the European Union,Council of the European Union,531,4
513969188677442,Compassion Polska,Compassion Polska,530,10
108301418501661,Odszkodowania Za Represje 1944-1989,Łukasz Świątek,487,13
344620515579640,Fundacja Równość.org.pl,Fundacja Równość.org.pl,460,35
105636040979969,Polska 2050,Polska 2050 Szymona Hołowni,438,6
393084100793680,Wiedza i Praktyka,Wiedza i Praktyka,434,6
182038191908977,Cyfryzacja KPRM,Kancelaria Prezesa Rady Ministrów,396,11
178415208919146,Solidarna Polska,Solidarna Polska,385,3
104061062331637,Pałac Saski,Pałac Saski Sp. z o.o.,378,9
406758116099067,Fundacja Kasisi,Fundacja Kasisi,373,5
50063176484,TVN24,TVN,339,4
391098174296294,Super Express,se.pl,337,8
144808095552639,ING Polska,ING Polska,330,4
200480966638039,Supremacy 1914,These ads ran without a disclaimer,318,4
142361819657439,Narodowy Fundusz Ochrony Środowiska i Gospodarki Wodnej,Narodowy Fundusz Ochrony Środowiska i Gospodarki Wodnej,295,1
378777385998461,Grupa MTP,Grupa MTP,288,10
199877710116314,Patryk Jaki,European Conservatives and Reformists (ECR) Party - Patryk Jaki MEP,282,5
292640324174614,Hellozdrowie.pl,Redakcja Hello Zdrowie,280,1
136884656519145,IOM Poland,International Organization for Migration,280,5
198196133533089,Polska Misja Medyczna / Polish Medical Mission,Polska Misja Medyczna / Polish Medical Mission,272,10
557305027641691,Prof. Ryszard Legutko,European Parliament ECR Group,272,1
1581518611867021,Zbigniew Ziobro,Zbigniew Ziobro,264,2
228168274881,wysokieobcasy,wysokieobcasy,255,22
74863922834,Krytyka Polityczna,Krytyka Polityczna,247,14
