Location name,Amount spent (EGP)
Al Sharqia Governorate,3328
Alexandria Governorate,3133
Aswan Governorate,592
Asyut Governorate,1305
Beheira Governorate,1901
Beni Suef Governorate,811
Cairo Governorate,7103
Dakahlia Governorate,4657
Damietta Governorate,1137
Faiyum Governorate,889
Gharbia Governorate,2703
Giza Governorate,2319
Ismailia Governorate,891
Kafr el-Sheikh Governorate,1509
Luxor Governorate,378
Matrouh Governorate,155
Minya Governorate,1398
Monufia Governorate,1884
New Valley Governorate,150
North Sinai Governorate,246
Port Said Governorate,679
Qalyubia Governorate,2860
Qena Governorate,932
Red Sea Governorate,306
Sohag Governorate,1459
South Sinai Governorate,126
Suez Governorate,427
Unknown,≤100
