Page ID,Page name,Disclaimer,Amount spent (ARS),Number of ads in Library
130929705668,Municipalidad de Córdoba,Municipalidad de Córdoba,1240923,44
2339859699626643,Hacemos Juntos por Córdoba,PJ Córdoba,557986,6
813606588771959,CPC Ruta 20 Municba,municipalidad de córdoba,178342,9
116710934724411,Defendamos la Provincia,Defendamos la Provincia,174999,7
212404205842351,CPC Rancagua MuniCba,municipalidad de córdoba,151607,8
359514447487972,Martín Arjol,Martín Arjol,133728,35
233792609964941,Municipio de Esteban Echeverría,Municipio de Esteban Echeverría,114676,8
429298067264790,Sergio Ziliotto,Partido Justicialista Distrito La Pampa,114456,68
112200072188893,Eduardo Cáceres,Eduardo Cáceres,107678,25
138406616275954,Marcelo Orrego,Producción y Trabajo,103799,5
409843162468188,Inés Brizuela y Doria,Inés Brizuela y Doria,97003,22
142473639655550,Lucio Paz Posse,Lucio Paz Posse,96511,12
104856199182046,Gato Fernández,Gato Fernández,90907,3
320178711981750,Pablo Argañaraz,Pablo Argañaraz,81079,10
112581315023501,Carlos Sadir,Frente Cambia Jujuy,79638,7
513899261972162,Frente de Izquierda FIT,Frente de Izquierda,69484,26
134952823851842,CPC Colón MuniCba,municipalidad de córdoba,68540,4
176782549197430,Ricardo Clemente Quintela,Ricardo Clemente Quintela,61313,6
1479745175587393,Tito Stefani,Tito Stefani,60791,10
101761569495985,Miguel Nanni 2023,Miguel Nanni 2023,59583,11
245511783066904,Matías Sebely,Matias Sebely,57823,7
597555623926805,CPC Empalme Municba,municipalidad de córdoba,56875,2
1471624973068591,Bettina Romero,Bettina Romero,56169,4
947520791967929,Claudio Poggi,Claudio Poggi,55679,11
104134822613702,Fabián Soria,Fabian Soria,55679,6
101185972235145,PJ La Pampa,Partido Justicialista La Pampa,52363,22
296099692189532,Martin Menem,Martin Menem,50471,14
363825283650115,Vicente López,Vicente López,49671,4
110746414660916,Lomas Noticias,Lomas Noticias,48172,2
105933872199149,Mística,Mística,46893,4
103038372620510,Hugo Passalacqua,Hugo Passalacqua,46634,5
107252148848573,Eduardo Cáceres,Eduardo Cáceres,46486,7
1642712085944827,Alejandro Vilca,Frente de Izquierda,43689,10
116617641368990,smartpos.ok,smartpos.ok,43333,25
825842354122893,Carolina Moises,Carolina Moises,43054,12
327490147360219,Martín Berhongaray,Martín Berhongaray,40085,40
2021141788107491,Othar Macharashvili,Othar Macharashvili,40000,2
424702354318618,Pedro Puerta,Pedro Puerta,39936,2
899213630149636,Carlitos Koth,Carlitos Koth,39486,16
121636574169273,Alfredo Gruber,Alfredo Gruber,39085,18
1188673574495575,Laura Stratta,Laura Stratta,38299,4
106277608413948,Felipe Biella,Salta Independiente,37530,5
466348693434886,El Analista de Salta,El Analista de Salta,36777,10
100975902971250,La Libertad Avanza en San Juan,La Libertad Avanza en San Juan,36600,11
103088924366000,Noticias d,Noticias d,36454,46
139278336273596,Diario Impacto Salta Ok,Diario Impacto Salta Ok,36454,4
184260298257243,Somos Fueguinos,Somos Fueguinos,34765,24
121862207487348,La Ciudad Que Queremos,La ciudad que queremos,34026,7
224143214809992,Luciano di Nápoli,Luciano di Nápoli,33809,12
102858281496444,Argentinos hoy,Argentinos hoy,33601,2
615479571992156,Juan Cardozo Traillou,Juan Cardozo Traillou,32900,7
924253577657013,Gobierno de Tierra del Fuego AIAS,Gobierno de Tierra del Fuego,32222,14
1170748123064391,Federico Frigerio,Federico Frigerio,32012,28
327490147360219,Martín Berhongaray,Primero La Pampa,30803,9
105925915008935,Frente Cambia Jujuy,Frente Cambia Jujuy,30767,19
367089004808,Amnistía Internacional Argentina,Amnistía Internacional Argentina,30620,23
260217841057049,Consultora Tendencias,Consultora Tendencias,30398,15
274062822714291,Sergio Uñac,Servicio informativo Gobierno de San Juan,29971,4
120071284390762,Paula Omodeo,ciatware,29755,15
