Location name,Amount spent (NGN)
Abia State,1671
Adamawa State,1383
Akwa Ibom State,2790
Anambra State,1572
Bauchi State,1015
Bayelsa State,1083
Benué State,1776
Borno State,1672
Cross River State,1216
Delta State,2797
Ebonyi State,507
Edo State,1667
Ekiti State,753
Enugu State,1352
Federal Capital Territory,11589
Gombe State,607
Imo State,794
Jigawa State,343
Kaduna State,5057
Kano State,8615
Katsina State,1092
Kebbi State,353
Kogi State,916
Kwara State,2248
Lagos State,39341
Nasarawa State,959
Niger State,1454
Ogun State,1736
Ondo State,1657
Osun State,1747
Oyo State,9115
Plateau State,7651
Rivers State,3309
Sokoto State,1527
Taraba State,977
Unknown,≤100
Yobe State,902
Zamfara State,679
