Location name,Amount spent (NGN)
Abia State,39659
Adamawa State,17614
Akwa Ibom State,28852
Anambra State,43127
Bauchi State,13124
Bayelsa State,5565
Benué State,15782
Borno State,12975
Cross River State,16362
Delta State,55278
Ebonyi State,5173
Edo State,41289
Ekiti State,4997
Enugu State,38828
Federal Capital Territory,178575
Gombe State,15991
Imo State,32866
Jigawa State,4347
Kaduna State,109126
Kano State,79439
Katsina State,14017
Kebbi State,3594
Kogi State,13833
Kwara State,19955
Lagos State,491747
Nasarawa State,9294
Niger State,14547
Ogun State,12383
Ondo State,9511
Osun State,12705
Oyo State,46775
Plateau State,21720
Rivers State,62683
Sokoto State,12395
Taraba State,8294
Unknown,≤100
Yobe State,6043
Zamfara State,5137
