Page ID,Page name,Disclaimer,Amount spent (MXN),Number of ads in Library
923633637651202,Morena Sí,Morena Sí,147592,209
273305282567,Gobierno de Jalisco,Gobierno de Jalisco,141097,46
1570126169927933,Delfina Gómez Álvarez,Delfina Gómez Álvarez,63876,123
118921468203786,Movimiento Ciudadano,Movimiento Ciudadano,38649,19
112882117843391,Morena Estado de México,morenaedomex.si,38645,41
153947391339205,Manolo Jiménez Salinas,MANOLO JIMENEZ SALINAS,38531,44
884158955066166,RecuperaTuFuturo,RecuperaTuFuturo,38167,218
1613868898897076,Waldo Fernández González,Waldo Fernández González,28680,20
114024430364416,YoXmx,Yoxmex,24817,40
1614424252123206,PAN Estado de México,Partido Acción Nacional Estado de México,20307,1
374079669993019,Secretaría de Seguridad Jalisco,Gobierno de Jalisco,19283,3
102781821943598,Quintana Roo Verdadero,Paul Martinez Chavez,15614,8
56713285274,Greenpeace México,Greenpeace México,13021,41
520075024716940,Movimiento Ciudadano Coahuila,Movimiento Ciudadano Coahuila,12285,9
102084795217656,Cuatro T,Cuatro T Noticias,12046,6
327324764029820,Armando Guadiana,Armando Guadiana,11902,14
842599102419449,Gobierno del Estado de Campeche,Gobierno del Estado de Campeche,11892,17
104680124489636,Demoscopia Digital,Demoscopia Digital,11754,67
156639921819,Gii360,Gii360,11615,29
191231480284,Gobierno de la Ciudad de México,Gobierno de la Ciudad de México,11202,7
116300734758352,Escáner Político,Escaner Politico Media,11179,6
475040405910613,Lenin Perez Rivera,Coalición Rescatemos Coahuila,10979,20
109488981975636,Chicharrón norteño,Chicharrón norteño,10945,6
124631600949535,Yo Influyo,Yoxmex,10536,57
449095701815347,Salvador Zamora,Salvador Zamora,10314,6
178625645626125,Movimiento Ciudadano Nuevo León,Movimiento Ciudadano NL,10229,18
469246976533189,Santiago Creel,SantiagoCreelM,9650,12
645731535452116,FactoMétrica,FactoMétrica,9563,30
186073704903313,México elige,México Elige,9521,48
114085441581783,El Anti Chapulines,El Anti Chapulines,9429,3
103747299357893,Mario Delgado Fans,Grupo Delgado Fans,9323,6
291420500968149,Ricardo Mejia Berdeja,Ricardo Mejia Berdeja,9289,7
102863700463398,Pepe Couttolenc,Partido Verde EDOMEX,8624,10
122582234955146,Adrián Guerra,Adrián Guerra,8086,2
117676694619099,Sala Capitalina,Sala Capitalina Media,8056,6
117021274685366,Futuro FEM,FEM MEDIA,8015,6
2091732304477564,Senadores Ciudadanos,Grupo Parlamentario de Movimiento Ciudadano en el Senado de la República,8013,3
101267031439463,Voz de las Empresas,Consejo de la Comunicación,8000,18
117455491307964,Al Día,Al Dia Media,7445,6
106159885479677,Las Noticias México,Las Noticias México,7379,2
285058928236909,Mauricio Vila,Mauricio Vila,7033,28
113990284949467,Avance y Progreso,avanceyprogreso.com,6337,87
109634395756375,Save the Children México,Save the Children México,6222,19
1044005875633479,Manuel Guerra Cavazos,Manuel Guerra Cavazos,6163,1
105097171575007,La LOCAL Mx,La LOCAL Mx,5723,2
1545555582174942,TResearch,TResearch,5414,8
108199465164850,Resistencia Obradorista - Que Siga La Democracia,Resistencia Obradorista - Que Siga La Democracia,5218,4
161020766408,Gobierno del Estado de Querétaro,Gobierno del Estado de Querétaro,5217,15
117194212331544,Edoméx Te Informa,Edomex Te Informa,5066,8
449319475244963,Comité Directivo Estatal del PAN Chihuahua,Comité Directivo Estatal del PAN Chihuahua,5061,8
468586243214951,Cultura Jalisco,Gobierno de Jalisco,4936,4
108737448471399,Altavoz Web,Altavoz Web,4928,11
104520841303988,El Portal Champotón,El Portal Champoton,4854,1
100430528133355,Información México,Información México,4827,24
303184083041100,Gobierno del Estado de Yucatán,Gobierno del Estado de Yucatán,4708,12
146709175702544,Gobierno de Quintana Roo,Gobierno de Quintana Roo,4689,7
104020969273111,Alejandro Campos,Alejandro Campos,4562,9
454013577974506,IEEM Oficial,IEEM Oficial,4534,7
107122090875492,Alejandro Gómez Cazarin,ALEJANDRO GÓMEZ CAZARIN,4308,1
183391831715311,Utel Universidad,These ads ran without a disclaimer,4232,7
108388847687280,Anáhuac Online,These ads ran without a disclaimer,4118,1
107329467479764,Rodrigo Valdez,Movimiento Ciudadano,4083,1
1297159123630144,Ulises Ruiz Ortiz,Ulises Ernesto Ruiz Ortiz,4064,4
154652694604556,Ricardo Gallardo Cardona,Ricardo Gallardo Cardona,3959,3
100867376619769,Xóchitl Gálvez Ruiz,Xóchitl Gálvez Ruiz,3922,19
543830382749706,Compromiso Social Mx,Compromiso Social Mx,3893,14
309922486178649,Cdmx.com,Cdmx.com,3886,2
936003293273572,Nexo Político,Nexo Político,3755,3
592495347619799,Mi familia es primero,Yoxmex,3747,13
669306863144908,Alberto Esquer,Moisés González,3676,6
461361317209089,Elecciones Limpias EdoMex.,Elecciones Limpias Edoméx,3602,8
213054628856737,Movimiento Ciudadano Ciudad de México,Movimiento Ciudadano,3577,5
115475744802204,Oleada 4T,Oleada 4t,3566,29
103599104583822,Andrés Mijes,Harman Consultores,3484,2
114158248252278,Convocatorias 2023,Convocatorias 2023,3482,9
112041081846375,Aida García,Movimiento Ciudadano,3436,1
265938437673601,Yo Soy Mi Planeta,Yoxmex,3419,10
259386257405548,Alejandra López Noriega,Alejandra Lopez Noriega,3362,15
101252239569220,Transformando Morelos,Transformando Morelos,3332,24
263327113809256,Secretaría de Salud Jalisco,Gobierno de Jalisco,3313,5
669306863144908,Alberto Esquer,Fernando Esquer,3305,1
2200852230002492,Educación Global,These ads ran without a disclaimer,3262,13
354326078079338,Campaigns and Elections Mexico,Campaigns & Elections México,3242,30
281125785691978,Saber Votar,Angel Alfredo Solis Lugo,3213,7
133761830290194,Tere Jiménez,AI MKT,3204,2
120544204635995,Gobierno de Baja California,Gobierno de Baja California,3195,3
713201418710795,José Ángel Pérez Hernández,José Ángel Pérez Hernández,3171,14
122404620204,Oxfam México,OXFAM MEXICO AC,3069,2
108407195129937,México Villarreal,Rodolfo México Villarreal Ritchie,3050,3
493453457351145,Coparmex Nacional,Coparmex Nacional,2994,43
112901823690886,Toño López Ruiz,Jose Antonio Lopez Ruiz,2983,4
112078425182286,Albany Castro,MOVIMIENTO CIUDADANO,2910,1
129061780478815,Sistema de Asistencia Social Jalisco,Gobierno de Jalisco,2884,4
380259112175320,Nueva Alianza Edomex,Nueva Alianza Estado de México,2877,6
427137767353498,Clemente Castañeda,Clemente Castañeda H,2851,5
105443092251390,El Diario,El Diario,2838,2
572887279531469,Román Alberto Cepeda,Román Alberto Cepeda,2820,13
118089944564637,El México que Informa,El México que Informa,2812,29
1415863341806268,DMC - Music Center,CENTRO DE ENCUENTRO ARTÍSTICO DMC A.C.,2805,8
1700479090276216,Poligrama,Poligrama,2796,3
1250751485006046,Secretaría de Seguridad Ciudadana de Q.Roo,Secretaría de Seguridad Ciudadana de Q.Roo,2768,4
107189855635934,Chuy Colores,Movimiento Ciudadano,2749,1
164119290359519,Marcelo Torres Cofiño,Millennial MX,2705,22
465531963489973,Verónica Delgadillo,Verónica Delgadillo,2673,6
101701991930418,UNIDEV,UNIDEV,2651,53
105768877736080,Mérida Actual,Noticias Sureste,2647,2
1583631301915573,Liborio Vidal,Liborio Vidal Aguilar,2630,21
1505965219699374,Salomón Chertorivski,Salomón Chertorivski,2614,1
345995382241686,PODER 360,PODER 360,2595,11
112241301833890,Acción Morenista,Grupo ACC Morena,2594,3
250717388400467,SICOMGuanajuato,SICOMGuanajuato,2570,4
129919903347839,Gina Marcos,MOVIMIENTO CIUDADANO,2540,2
48966795116,Amnistía Internacional México,Amnistía Internacional México,2500,4
107640312290269,Mariana Ortega,Movimiento Ciudadano,2467,2
102219139246608,MarceLovers,Mundo Millenial,2459,4
101517436136014,Americasmobilityofthefuture,Marco Antonio Alvarez Cruz,2418,35
215836968456734,Alfonso Martínez Alcázar,Alfonso Martínez,2377,6
111722858536644,Al Frente por Edomex,Al Frente por Edomex,2372,12
279469625434543,Paco Cienfuegos,Paco Cienfuegos,2364,20
103076409179987,Las Noticias - Norte,Las Noticias México,2323,2
458859544909547,DICES,DICES,2307,26
107356960929927,Las Noticias-Política,Noticias Política,2257,2
102351485932912,Contraste Norte,Contraste Norte,2255,3
110731518636712,Por el Cambio,porelcambiomx.com,2229,29
206323119403212,Mario Delgado Carrillo,Mario Delgado Carrillo,2216,3
109538585077104,Red Ciudadana Transformando Morelos,Red Ciudadana Transformando Morelos,2144,5
109312770635182,Manuel Cota Cárdenas,Manuel Cota Cárdenas,2077,13
294591180601746,Dr. Carlos Lomelí Bolaños,Dr. Carlos Lomelí Bolaños,2073,5
103976052285806,El Bunker Político,El Bunker Político,2068,3
129116715379616,La Lotería Del Pueblo,Hugo Junco Olvera,2043,10
106702032385788,Abelardo Eagleston,Movimiento Ciudadano,1960,1
108687728744220,Caribe Noticias,Caribe Noticias,1945,2
102571299059219,Centro de Desarrollo y Actualización de Competencias,Joaquin Tovilla Lopez,1845,3
106104551569591,Giovani Gutiérrez,GIOVANI GUTIERREZ,1832,10
1452189031676518,Hyundai México,HYUNDAI MEXICO,1776,2
111024680681758,Universidad Contemporánea de las Américas Frónesis Plantel Ciudad de México,Universidad Contemporánea de las Américas Frónesis Plantel Ciudad de México,1755,3
107652783975551,CS Medicina Estética,CS Medicina Estética,1743,2
500239473449030,PES Michoacán,Partido Encuentro Solidario,1742,34
641245122583059,Soledad Luévano,Maria Soledad Luevano Cantu,1739,10
1639547112769925,Partido Verde Saltillo,Partido Verde Coahuila,1732,4
192366194179807,León Municipio,León Municipio,1708,3
1117222281664997,Gobierno Municipal de Chihuahua,Gobierno Municipal de Chihuahua,1707,7
102268952205344,Noticias México,Kimberley Lisset Martinez Alanis,1704,1
105269251779541,,Al Momento Noticias,1685,1
126053684120856,Gobierno del Estado de Oaxaca,Gobierno del Estado de Oaxaca,1663,89
338174139686776,Mauricio Kuri,Mauricio Kuri,1659,15
264060497093390,Shamir Fernández Hernández,Gabriel Francisco Pedro,1655,3
236349593718788,Jesús María Montemayor Garza,Brecha Comunicación,1646,15
113974947457905,Ni Fifís Ni Chairos,Resonancia EdoMEx,1643,1
103334219123355,Ricardo  Meraz,Movimiento Ciudadano,1642,1
125855107905745,Jacobo Rodriguez,Roger Media,1637,11
302448513146235,Jorge Romero Herrera,JORGE ROMERO,1630,1
381985873573,Partido de la Revolución Democrática PRD,Partido de la Revolución Democrática,1611,16
196705420663884,Código Magenta,Código Magenta,1610,5
323351798154535,Olivia Martínez Leyva,Brecha Comunicación,1608,24
896480353729275,Memo Ruiz,Brecha Comunicación,1581,23
195815320573612,elmomento.mx,elmomento.mx,1577,2
2330030160374237,Balance 24,Balance 24,1529,10
589484077738887,Jorge Álvarez Máynez,Estudio Bocadillo,1527,4
386867534680369,Ernesto Prieto Ortega,Ernesto Prieto Ortega,1522,3
431333757214927,Brenda Flores,MOVIMIENTO CIUDADANO,1516,1
109175599170805,Cuauhtémoc Ochoa Fernández,Cuauhtémoc Ochoa Fernández,1509,8
611053902572622,Focus Mx,Focus Mx,1506,2
543882089126145,Lalo Aguilar,Movimiento Ciudadano,1498,1
102065768985518,Siempre es Noticia,Siempre es Noticia,1496,6
1520610478183053,Badabun,Vanessa Rivera,1481,1
122154061801959,Colectivo Mujeres Cabeza de Familia,Yoxmex,1478,19
100242005506001,Medestetic México,Medestetic México,1476,2
34767149008,Tecnológico de Monterrey,Tecnológico de Monterrey,1474,1
137309263048418,Poncho Robledo,Poncho Robledo,1464,1
511703009188988,Azucena Cisneros Coss,Azucena Cisneros Coss,1461,2
355698161771796,Pulso Digital,Diario Pulso Digital,1460,9
100615629548784,Blanca Lamas,Brecha Comunicación,1457,25
102558755336180,El Bernal,El Bernal Mx,1438,2
536886746673043,Jóvenes MX,Yoxmex,1415,15
100354382552134,Edith Hernández Sillas,Brecha Comunicación,1412,17
394579937307087,Marybel Villegas Canché,Marybel Villegas Canché,1411,6
116513358016500,Transparencia Ciudadana,Ciudadanos,1397,16
136017836425540,Gobierno del Estado de Sonora,Gobierno del Estado de Sonora,1397,4
104806935944328,Edo. Mex Informado,Resonancia EdoMEx,1397,1
104878035898929,Requetemal,Resonancia EdoMEx,1393,1
817975211603986,Elecciones Coahuila,Elecciones Coahuila,1371,1
162949857103721,Gobierno Colima,Gobierno Colima,1366,12
115499391426868,Evidencias,Evidencias,1362,7
961310490582166,FeliFer Macías,Felipe Macías,1355,3
354715814963697,Gerardo Aguado Gómez,Brecha Comunicación,1345,23
