Page ID,Page name,Disclaimer,Amount spent (XCD),Number of ads in Library
482198868521917,Asot Michael,Asot A. Michael,6100,52
486723854867439,MYUPP,United Progressive Party,1686,25
64075711205,Antigua & Barbuda Labour Party,The Antigua & Barbuda Labour Party (ABLP),1218,32
434709106604434,Progressive Youth,United Progressive Party,1180,9
203239449860143,Harold Lovell,United Progressive Party,948,13
108197841533582,St.Peter's Constituency-ABLP-,Rawdon Turner,675,1
1451898645041985,Gaston Browne,The Antigua & Barbuda Labour Party (ABLP),664,23
109997654165241,Algernon 'Serpent' Watts,United Progressive Party,140,3
101970394999638,Franz for City South,United Progressive Party,140,2
102389305793337,Anthony Stuart,Democratic National Alliance,≤100,16
698379307000668,Democratic National Alliance - Antigua and Barbuda,Democratic National Alliance,≤100,10
44846920403,Dean,Athill Dean Jonas,≤100,5
107952221023207,Gladys Potter the Right Choice for SJRS,United Progressive Party,≤100,2
128330884625097,Johnathan Joseph,United Progressive Party,≤100,1
109407040848704,Sean Bird,United Progressive Party,≤100,1
102663679241421,Kelvin 'Shugy' Simon,United Progressive Party,≤100,1
105826391202074,Pearl Quinn-Williams,United Progressive Party,≤100,1
100466735989236,Kisean 'Brother Joe' Joseph,Kisean 'Brother Joe' Joseph,≤100,2
527384967635800,Richard S. Lewis,Richard Sylvester Theophilus Lewis,≤100,2
251067568809208,St. John's Rural North,Angelica Ayoka O'Donoghue,≤100,2
108465098593385,Mario Thomas,Democratic National Alliance,≤100,1
109366510875,Chaneil Imhoff,Chaneil Imhoff,≤100,1
111347180673351,Anthony Smith Jr.,Anthony Smith,≤100,1
563065237146155,Latindadd,These ads ran without a disclaimer,≤100,1
111622410196045,State of Youth,These ads ran without a disclaimer,≤100,1
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,1
285530825204,Klitschko,These ads ran without a disclaimer,≤100,3
681614015247190,Caribbean National Weekly,These ads ran without a disclaimer,≤100,2
