Page ID,Page name,Disclaimer,Amount spent (NZD),Number of ads in Library
111699101849124,Ōu Huatau Hauora | Your Views On Health,Ministry of Health,2111,63
11870725774,Greenpeace Aotearoa,Greenpeace NZ,1242,11
183355881680015,New Zealand National Party,New Zealand National Party,721,101
116362033529,Amnesty International Aotearoa New Zealand,Amnesty International Aotearoa New Zealand,608,24
1671535913101759,Entrust,Entrust New Zealand,522,9
173912362663564,Electoral Commission NZ,Electoral Commission NZ,462,2
37547788323,UNICEF Aotearoa,UNICEF Aotearoa,315,37
103294052679561,Kiwis Backing Farmers,Beef + Lamb NZ,305,38
175954932952,WWF New Zealand,WWF New Zealand,243,4
376006035816016,Storyworth,These ads ran without a disclaimer,225,2
92043134118,ACT,the Parliamentary Service on behalf of ACT New Zealand,195,13
185590638873,NZHL Home Loans / Insurance,NZHL Home Loans / Insurance,188,7
110444822368666,Ōtara-Papatoetoe Local Board,Auckland Council,162,2
19648092895,Tearfund New Zealand,Tearfund New Zealand,146,19
200480966638039,Supremacy 1914,These ads ran without a disclaimer,136,2
121956660842544,Grant McCallum for Northland,New Zealand National Party (Northland Electorate),≤100,7
123674487757196,New Zealand Nurses Organisation - NZNO,New Zealand Nurses Organisation - NZNO,≤100,1
175465665824008,Queenstown NZ,Queenstown NZ,≤100,5
110909661534199,The Common Room NZ,The Common Room NZ,≤100,1
451907931984042,Speak Up For Women NZ,Speak Up For Women NZ,≤100,1
154331724631584,David Seymour,the Parliamentary Service on behalf of ACT New Zealand,≤100,4
10779081371,Green Party of Aotearoa New Zealand,The NZ Parliamentary Service on behalf of the Green Party,≤100,2
105534772373969,NZ News Essentials,NZ News Essentials,≤100,2
133758444883,Palmerston North City Council,Palmerston North City Council,≤100,4
196967540964595,Mindful Money,Mindful Money,≤100,3
101828332517373,National Zakat Foundation New Zealand,National Zakat Foundation New Zealand,≤100,4
92043134118,ACT,ACT,≤100,1
110910531830985,David MacLeod for New Plymouth,"David MacLeod, National Party Candidate for the New Plymouth Electorate",≤100,1
667708756580711,Matt Doocey MP,Parliamentary Service,≤100,1
213708008642996,Pink Shirt Day Aotearoa,Mental Health Foundation of New Zealand,≤100,1
1966234280281774,Brooke van Velden MP,the Parliamentary Service on behalf of ACT New Zealand,≤100,2
100272638114473,Tim Costley,Ōtaki National Party,≤100,1
74410368422,Mental Health Foundation of New Zealand,Mental Health Foundation,≤100,1
100432998389927,Karen Chhour MP,the Parliamentary Service on behalf of ACT New Zealand,≤100,1
448287635297180,Otago Regional Council,Otago Regional Council,≤100,1
203463489667720,Western Bay of Plenty District Council,Western Bay of Plenty District Council,≤100,4
201340000036663,Ashburton District Council,Ashburton District Council,≤100,14
117930708298273,Hamilton City Council,Hamilton City Council,≤100,2
108016085429117,The Climate Action Conference,Dylan Yash Chand,≤100,1
106952008971755,Catherine Wedd for Tukituki,Catherine Wedd for Tukituki,≤100,2
305655596286980,Paul Goldsmith,NZ Parliamentary Service on behalf of Paul Goldsmith MP,≤100,6
102354862041584,"It's time, Canterbury",Environment Canterbury,≤100,1
110853898609831,They Save We Pay,Dunedin City Council,≤100,1
103403094634162,Ethan Reille for Waitaki,Ethan Mark Reille,≤100,1
269047933236930,Horowhenua District Council,Horowhenua District Council,≤100,1
111518076963780,Nicola Grigg MP,Parliamentary Services NZ on behalf of Nicola Grigg MP,≤100,1
134871109877812,Save the Children New Zealand,Save the Children New Zealand,≤100,1
127922087253478,Dunedin City Council,Dunedin City Council,≤100,2
171901233444420,Mel Courtney - Nelson City Councillor,Mel Courtney,≤100,1
109190088664909,Hamish Campbell for Ilam,Hamish Campbell for Ilam,≤100,1
109439615316279,Just Say No,Just Say No,≤100,1
