Location name,Amount spent (NGN)
Abia State,7165
Adamawa State,5638
Akwa Ibom State,3017
Anambra State,8497
Bauchi State,3183
Bayelsa State,399
Benué State,1505
Borno State,7189
Cross River State,1011
Delta State,23817
Ebonyi State,713
Edo State,5118
Ekiti State,859
Enugu State,10514
Federal Capital Territory,15243
Gombe State,7094
Imo State,2216
Jigawa State,1215
Kaduna State,10725
Kano State,14974
Katsina State,3420
Kebbi State,966
Kogi State,1967
Kwara State,12434
Lagos State,129478
Nasarawa State,2040
Niger State,3865
Ogun State,3968
Ondo State,1496
Osun State,2471
Oyo State,7348
Plateau State,4358
Rivers State,16380
Sokoto State,11254
Taraba State,2660
Unknown,≤100
Yobe State,1968
Zamfara State,1428
