Page ID,Page name,Disclaimer,Amount spent (RON),Number of ads in Library
1395939193764858,Marcel Ciolacu,Partidul Social Democrat,4177,23
243027859216579,Alfred Simonis,Partidul Social Democrat,3139,14
1058116737612843,USR,Uniunea Salvați România,2624,11
102025778125741,Robert Cazanciuc,Partidul Social Democrat,2246,7
108295090637741,ASAP România,Fundatia The Institute,2017,12
291177524360702,Partidul Social Democrat,Partidul Social Democrat,1581,6
275621429636078,Fără Penali în Funcții Publice,Fără Penali în Funcții Publice,1576,2
178362315106,European Parliament,European Parliament,1340,6
315465401814755,Asociatia Accept,Asociația ACCEPT,1148,4
321890494859228,Vlad Gheorghe,Vlad Gheorghe,947,13
163943696987223,Ziarul Puterea,Ziarul Puterea,847,32
181375448581167,Partidul Naţional Liberal,Partidul National Liberal,744,2
108801900624850,Cojocaru Petru Bogdan,Partidul Social Democrat,662,7
1473670686274595,Codin Maticiuc,These ads ran without a disclaimer,616,1
686190454826244,Declic,Declic,612,32
102601499822802,RMDSZ,RMDSZ,593,8
1157480384268430,Partidul Umanist Social Liberal PUSL Sediul Central,Partidul Umanist Social Liberal,552,5
182546041796641,Costel Alexe,Costel Alexe,498,1
100187575506085,Bogdan Balaniscu,Partidul Social Democrat,454,5
100174096112403,Presa Nemțeană,Presa Nemțeană,433,3
173204689496678,Centrul de Cultura AUGUSTIN BENA Alba,These ads ran without a disclaimer,414,1
557284874779877,Mihai Coteț,Mihai Cotet,379,3
114319753592403,AFACERI.news,Trend Communication,374,7
333606539787,UNICEF Romania,UNICEF Romania,329,3
149371012371397,Newsweek Romania,Newsweek Romania,302,5
1871260176434584,USR Ilfov,USR Ilfov,269,2
220579784732993,Daniel Buda,Daniel Buda,261,6
107029625474765,Nicușor Halici,PSD Vrancea,256,4
123526378261795,Stiri Locale,Stiri Locale,244,2
102743169253473,Reciclăm în România,Reciclăm în România,240,26
1559885467641191,Râul Alb,Râul Alb,235,13
1653699758248627,Ion ȘTEFAN,Ion ȘTEFAN,210,1
113883531589968,PeBune Neamț,PeBune Neamț,209,2
185088338177066,PNL IASI,PNL IASI,207,1
731035500293728,Siegfried Muresan,Siegfried Muresan,194,1
1164341813627057,Maria Gabriela Horga,Maria Gabriela Horga,193,16
697451833786949,Mihai Polițeanu,Mihai Polițeanu,188,6
108304090952938,Mihai Weber,Mihai Weber,160,2
113009310432947,Ilie Cheșa,Ilie Cheșa,153,2
428654640523065,Mircea Rosca,Mircea Rosca,146,2
270123713114441,Cluj Manifest,Cluj Manifest,135,2
110665943772240,Virgil Pirvulescu,Virgil Pîrvulescu,134,1
552203444833617,e.on,These ads ran without a disclaimer,133,1
360184320712594,Raluca Turcan,Partidul Naţional Liberal,126,12
106318718894637,Infrastructură 5,Infrastructură 5,122,1
133003303786721,USR Dâmbovița,USR Dâmbovița,120,1
1408452646080627,Marius Screciu,Marius Screciu,112,1
101971268361738,Andrei Miftode,Cabinet Parlamentar Marius Andrei Miftode,109,8
1156150484398630,MozaiQ,MozaiQ,108,4
2546711162025064,Politice.net,politice.net,107,1
450693115669004,Csomortányi István,Erdélyi Magyar Néppárt,107,4
205001282852200,Milvus Group,Asociatia GRUPUL MILVUS,104,33
