Page ID,Page name,Disclaimer,Amount spent (PLN),Number of ads in Library
63563473556,Gazeta Wyborcza,Gazeta Wyborcza,3666,56
654912251187357,Grupa PGE,Grupa PGE,2010,3
57544755889,Amnesty International Polska,Amnesty International Polska,1350,35
1227194230675141,Pratia,Pratia SA,1305,20
178362315106,European Parliament,European Parliament,1169,9
228168274881,wysokieobcasy,wysokieobcasy,1136,12
469702339755768,Paweł Tanajno Polska Liberalna Strajk Przedsiębiorców,Iam4u.pl,968,152
196334343778888,Polskie Centrum Pomocy Międzynarodowej (PCPM),PCPM with Facebook ad credits,789,23
182038191908977,Cyfryzacja KPRM,Kancelaria Prezesa Rady Ministrów,773,14
393084100793680,Wiedza i Praktyka,Wiedza i Praktyka,767,9
513969188677442,Compassion Polska,Compassion Polska,736,20
520444618035778,Grupa EPL w Parlamencie Europejskim,EPP Group in the European Parliament,686,5
104884392877324,Alivia,Alivia - Fundacja Onkologiczna,675,9
111465470197991,Mateusz Morawiecki,Mateusz Morawiecki,601,9
102792325966064,Kopalnia kitu,Kopalnia Kitu (DoubleD Marketing),581,13
273827962690526,Otwarte Klatki,Otwarte Klatki,485,6
95661128574,Radio ESKA,Radio ESKA,458,2
243062285878253,Dr Katarzyna Michniewska,These ads ran without a disclaimer,437,1
1683534065241470,OKO.press,OKO.press,399,15
178415208919146,Solidarna Polska,Solidarna Polska,389,4
1063990387008272,Centrum Życia i Rodziny,Centrum Życia i Rodziny,382,1
1407603489492838,Instytut na rzecz Kultury Prawnej Ordo Iuris,Instytut na rzecz Kultury Prawnej Ordo Iuris,363,2
295161506338,AKADEMIA PRZYSZŁOŚCI,Stowarzyszenie Wiosna,356,17
339855706171439,Dobra Fabryka,Dobra Fabryka,346,21
104921858016507,Dzień Dobry Podatki,Michał Wilk,328,14
426784938154184,PrzyjacieleZwierzat.pl,PrzyjacieleZwierzat.pl,322,3
104061062331637,Pałac Saski,Pałac Saski Sp. z o.o.,296,5
54779960819,United Nations,United Nations with Facebook Ad Credits,295,9
475584852475176,Pozytron,Bartłomiej Jan Ginter,286,13
153679474688551,Wydawnictwo Fronda,Wydawnictwo Fronda,283,12
50063176484,TVN24,TVN,273,16
405824882955092,Mazowieckie,Urząd Marszałkowski Województwa Mazowieckiego w Warszawie,256,2
142614625077,WWF Polska,WWF Polska,224,2
851597268265842,Telewizja Kopernik,TELEWIZJA KOPERNIK,213,20
142218132483199,Kasa Stefczyka,Kasa Stefczyka,199,4
427646927347438,A4 Katowice - Kraków,Stalexport Autostrada Małopolska S.A.,198,3
136884656519145,IOM Poland,International Organization for Migration,196,6
137877409609952,Lewica,Nowa Lewica,187,7
892031604299955,Auchan,These ads ran without a disclaimer,184,1
106708966025605,Wydawnictwo W.A.B.,Grupa Wydawnicza Foksal,180,3
160341610647590,Łukasz Gibała,Kraków dla Mieszkańców,175,5
109218848183780,Marek Woźniak,UMWW,173,6
173086948664,Infor.pl,Infor.pl,171,11
100302862419697,"Wielkopolska, tej",UMWW,168,10
143951191449,Profinfo.pl,Wolters Kluwer PL,165,2
109649700417909,Piotr Sak,Poseł na Sejm RP Piotr Sak,163,3
312816688890250,Dariusz Matecki,Dariusz Matecki Radny Miasta Szczecin,157,2
