Page ID,Page name,Disclaimer,Amount spent (NGN),Number of ads in Library
681779338505564,Yiaga Africa,Yiaga Africa with Facebook Ad Credits,1195842,6
753031955030992,Atiku-Okowa.com,One Nigeria Movement,320914,9
103876095960528,Vote Adewole Adebayo for President 2023,Adebayo Adewole Campaign Group,101609,1
306380336545577,Dattijo For Senate 2023,Dattijo For Senate 2023,66584,8
277754446181585,Tonye Cole,Tonye Cole,54433,1
101300476067946,The Northern Umbrella Forum,Northern Umbrella Forum,43674,2
111671415154722,The Time is Now,Team Caleb Mutfwang,26659,5
111671415154722,The Time is Now,Team Caleb Mutfwang,26659,5
101264482814629,TechHaier,These ads ran without a disclaimer,24047,3
492378324116772,The Lagos State Government,The Lagos State Government,22950,1
205279466743027,Lux Terra Leadership Foundation,Lux Terra Leadership Foundation,18296,4
100486959387581,Ada Ogbu Nara,Chisom Okechukwu Kenneth,16387,10
163415157011050,Elevation NG,The Elevation Church,14629,3
102619289418448,Refined Alliance for Atiku,Pius Ihechi Ikeoba,14389,6
159608281365535,Oshinealasheju,These ads ran without a disclaimer,13322,1
248584495820796,Ibe Okwara for House of Representatives - Arochukwu/Ohafia Constituency,Ibe Okwara Support Group,10420,10
391125774253545,Francis E. Waive,Francis E. Waive,10209,3
102096876127435,BAT 2023,Abraham Adesanya Adetutu A.,8765,2
110808857137968,Marilyn Okowa-Daramola,Marilyn Okowa-Daramola,8557,1
312632449480846,Governor Ifeanyi A. Okowa,Governor Ifeanyi A. Okowa,7842,1
117014670139291,No Negative Vibe,Chiedozie Abarikwu,7388,1
102399141248203,Chief Edward David Onoja,Isaac Ukpahiu'ojo Agene,7059,3
103018869332378,BantuPage,Ikechukwu Orji,6427,8
114009474939343,Hon. Collins Ezenwa Ilo,Collins Ezenwa Ilo,5729,3
252185758819200,Babajide Sanwo-Olu,Babajide Sanwo-Olu,5715,5
654180731859809,T-Police,T-Police,5651,2
171885956874687,Because Of Our Tomorrow,BOOT Party,5449,1
191066234648103,Shehu Musa Yar'Adua Foundation,Shehu Musa Yar'Adua Foundation,5268,2
274811734355511,Insight 4 Impact Foundation,Insight 4 Impact Foundation,5037,1
107676437643727,Inuwa Media Vanguard,Inuwa Media Vanguard,4949,7
112268064929703,Mailantarki Campaign Organisation 2023,Mailantarki Campaign Organisation 2023,4675,5
126460284139483,Nigerianeye,NigerianEye,4673,2
101622722635138,Advocacy For Good Governance,Nnadi Sunny,4556,7
105018565612690,Atiku Listens,Atiku Listens,4338,5
474949016032212,Akin Fadeyi Foundation,Akin Fadeyi Foundation,3915,4
102169824695398,Rero TV,Rero TV,3849,11
120190148064823,CSAAE,"Centre for Social Awareness, Advocacy and Ethics (CSAAE)",3833,1
109466785028287,Prince Dr Emeka Eze,Michael Obiekwe,3690,2
108796611296489,INUWA 4+4 TV,INUWA 4+4 TV,3677,6
106955635517175,Petroleum Industry Act and You,The Nigerian Upstream Petroleum Regulator Commission,3229,3
110034854692816,Eyewitness Nigeria,Eyewitness Nigeria,3111,5
102835755970763,NN19,NN19,3063,1
114629996843741,Taiwan in Nigeria,These ads ran without a disclaimer,3051,1
109519215399198,Mcrichards,Olawale Millz,3044,2
101886116160600,SootCityng,X3M ideas,2920,4
590202251174437,Interfaith Dialogue Forum for Peace,Interfaith Dialogue Forum for Peace,2910,2
117313041253293,Obedient structure,These ads ran without a disclaimer,2842,1
258810957658900,Adamu A. Babale Makera,Adamu A. Babale Makera,2772,9
1726955277362180,Haske-Kudla Satumari,Haske-Kudla Satumari,2768,2
105208365731340,F-SAO4Tinubu/Shettima2023,Emmanuel Oko,2705,1
120346118099706,BrandPower,BrandPower,2306,1
1424568854317088,Jonathan Imafidor,These ads ran without a disclaimer,2306,1
101620952700531,Babandi Ibrahim,Babandi Gumel Ibrahim,2306,1
116248814706806,Vote4climateng,Adebiyi Agnes,2216,10
1663913513914881,English Cameroon for a United Cameroon,English Cameroon for a United Cameroon,2106,1
106804501674694,Naked Truth Productions,Naked Truth Productions,2059,2
104009615779917,Engineer Jeremiah Abiola Awoyeye,Olayemi Olamide Awoyemi,2052,4
112498591639701,Deola Azeez,ADEOLA AZEEZ FOUNDATION,1868,3
104345512340583,Katsina State Television KTTV,Aminu Habibu Mohammed,1847,1
105997422320113,Ambassador. Onijala4Senate Kwara South,Olutola Onijala,1845,2
744766039058747,Inside Kaduna,Inside Kaduna Media,1845,6
111271261379124,Effective Campaign Management Media,Effective Campaign Management Media,1660,5
104576632565512,K MOVE 2023,Kefas Movement 2023,1565,2
382009025662024,Camanda,Camanda,1499,1
100202924924063,Page 36,Page 36,1487,7
110629564899604,Adetokunbo Adeaga - Comfort 2023,Ayodeji Taiwo Oladeji,1428,3
