Page ID,Page name,Disclaimer,Amount spent (DKK),Number of ads in Library
65929129383,Røde Kors,Røde Kors,21510,45
12860228293,Politiken,Politiken,12970,37
38507331439,Danmarks Naturfredningsforening,Danmarks Naturfredningsforening,5549,15
1507997959501973,Landbrug & Fødevarer,Landbrug & Fødevarer,4215,15
26458152911,SOS Børnebyerne,SOS Børnebyerne,3162,27
748887235210811,Obton Forvaltning A/S,Obton Forvaltning A/S,3076,16
106656892420019,,Dansk Vegetarisk Forening - DVF,2880,2
250994288337708,Sex og Samfund,Sex og Samfund,2769,22
399210657232918,PlanBørnefonden,PlanBørnefonden,2719,20
72672361910,Børns Vilkår,Børns Vilkår,2347,8
261599053881378,Fagbevægelsens Hovedorganisation,Fagbevægelsens Hovedorganisation,2041,4
55365680705,Greenpeace Danmark,Greenpeace Danmark,1952,26
99632942471,Læger uden Grænser (MSF),Læger uden Grænser (MSF),1905,2
5624899398,Mellemfolkeligt Samvirke,Mellemfolkeligt Samvirke,1878,18
708245239243699,Dansk Beton,Dansk Beton,1811,5
337166195327,BRYD TAVSHEDEN,BRYD TAVSHEDEN,1638,28
116227401722605,Dansk Flygtningehjælp,Dansk Flygtningehjælp,1551,47
12787473132,Berlingske,Berlingske,1529,31
202627126417910,TAXA 4x35,Sammenslutningen Taxa 4x35,1518,6
1677055535924085,Røgfri Fremtid,Røgfri Fremtid,1448,3
437410226312057,Københavns Kommune,Københavns Kommune,1403,8
155596147784577,WWF Verdensnaturfonden,WWF Verdensnaturfonden,1351,10
1029970060346902,EWII,EWII A/S,1350,1
867877683280051,Weekendavisen,Weekendavisen,1345,28
121570596369,CARE Danmark,CARE i Danmark,1340,9
110321008383861,Red Barnets landsindsamling,Red Barnet,1253,134
304554445813,Videncentret Bolius,Videncentret Bolius,1249,14
22030968736,Anima,Anima,1197,2
200709746630443,Dyrenes Beskyttelse,Dyrenes Beskyttelse,1133,4
126543540781090,Ældre Sagen,Ældre Sagen,1129,17
350495955072656,Klimabevægelsen i Danmark,Klimabevægelsen i Danmark,1035,5
102154048301476,Lederstof.dk,Lederne,1008,27
138978072648,Dansk Vegetarisk Forening - DVF,Dansk Vegetarisk Forening - DVF,987,4
21465928829,"Venstre, Danmarks Liberale Parti","Venstre, Danmarks Liberale Parti",954,7
748887235210811,Obton Forvaltning A/S,Obton A/S,933,7
36664432940,Amnesty International Danmark,Amnesty International Danmark,810,6
304554445813,Videncentret Bolius,Bolius,670,3
141343589252160,Dansk Industri - DI,Dansk Industri,665,3
529124290474705,Nikolaj Villumsen,Enhedslisten,660,2
182121298931589,Odense Kommune,Odense Kommune,644,3
169918310823,Foreningen Spiseforstyrrelser og Selvskade,Foreningen Spiseforstyrrelser og Selvskade,625,3
130388840342741,Danske Bank,Danske Bank,620,5
106348682400630,Nova - AI Chatbot,These ads ran without a disclaimer,614,10
107898832590939,European Commission,European Commission,593,4
95141502089,Økonomisk Ugebrev,Økonomisk Ugebrev,573,1
183887801641951,Verdens Skove,Verdens Skove,564,3
200480966638039,Supremacy 1914,These ads ran without a disclaimer,546,3
146458868730806,ROSE - Dansk kylling siden 1952,HKScan Denmark A/S,496,17
145392175531068,JydskeVestkysten,JydskeVestkysten,494,3
167891603415958,Lederne,Lederne,489,15
110560691837684,SolCompagniet,SolCompagniet,489,3
246977185497434,Plastic Change,Plastic Change,454,29
287306323369,Børnecancerfonden,Børnecancerfonden,438,2
1033120613483808,AURA,AURA,425,3
66328502645,Dagbladet Information,Dagbladet Information,406,1
144965885963,Oxfam IBIS - Sammen mod ulighed,Oxfam IBIS,396,6
109012749124622,3F - Gør dig stærkere.,3F - Danmarks Stærkeste Fagforening,394,8
1704424023182897,Politiken Historie,Politiken Historie,374,14
105511328705392,HØRT,Børns Vilkår,313,5
227357657280228,Børnehjælpsdagen,Fonden Børnehjælpsdagen af 6. maj 1904,298,16
106952222676974,Liberal Alliance,Liberal Alliance,272,1
314676938743,DM din akademiske fagforening,DM,255,10
12390252419,Region Nordjylland,Region Nordjylland,251,3
101248435485457,Frihedsbrevet,Mediehuset Friheden,244,2
525293580838760,Silkeborg Kommune,Silkeborg Kommune,239,1
60607804590,Albatros Travel,These ads ran without a disclaimer,237,2
246097715413231,Alkohol & Samfund,Alkohol & Samfund,217,11
267019152979,"DPU, Aarhus Universitet",Carsten Henriksen,212,1
657491824390744,Spring Copenhagen,Spring Copenhagen,189,10
105004466262954,Frit Forum Århus,Frit Forum Århus,183,1
133716736641210,LandbrugsAvisen,LandbrugsAvisen,177,3
