Location name,Amount spent (NGN)
Abia State,6658
Adamawa State,1661
Akwa Ibom State,3959
Anambra State,6703
Bauchi State,2184
Bayelsa State,219
Benué State,815
Borno State,1887
Cross River State,1049
Delta State,2262
Ebonyi State,715
Edo State,1766
Ekiti State,389
Enugu State,2778
Federal Capital Territory,14957
Gombe State,7898
Imo State,1499
Jigawa State,790
Kaduna State,6647
Kano State,9503
Katsina State,1757
Kebbi State,465
Kogi State,1218
Kwara State,1370
Lagos State,70542
Nasarawa State,1347
Niger State,2012
Ogun State,1920
Ondo State,685
Osun State,936
Oyo State,8561
Plateau State,2789
Rivers State,9464
Sokoto State,1731
Taraba State,999
Unknown,≤100
Yobe State,1261
Zamfara State,913
