Location name,Amount spent (NGN)
Abia State,864
Adamawa State,891
Akwa Ibom State,836
Anambra State,828
Bauchi State,659
Bayelsa State,291
Benué State,270
Borno State,984
Cross River State,293
Delta State,1727
Ebonyi State,124
Edo State,696
Ekiti State,151
Enugu State,583
Federal Capital Territory,6622
Gombe State,425
Imo State,556
Jigawa State,112
Kaduna State,2287
Kano State,3499
Katsina State,815
Kebbi State,176
Kogi State,466
Kwara State,765
Lagos State,11070
Nasarawa State,448
Niger State,2668
Ogun State,374
Ondo State,244
Osun State,386
Oyo State,2167
Plateau State,1144
Rivers State,6705
Sokoto State,999
Taraba State,371
Unknown,≤100
Yobe State,220
Zamfara State,269
