Location name,Amount spent (NGN)
Abia State,20994
Adamawa State,5823
Akwa Ibom State,5967
Anambra State,16080
Bauchi State,4789
Bayelsa State,1576
Benué State,6515
Borno State,4928
Cross River State,3578
Delta State,12594
Ebonyi State,2434
Edo State,10302
Ekiti State,2742
Enugu State,14697
Federal Capital Territory,35119
Gombe State,9409
Imo State,8011
Jigawa State,1600
Kaduna State,19045
Kano State,29980
Katsina State,4677
Kebbi State,1408
Kogi State,4233
Kwara State,10180
Lagos State,163863
Nasarawa State,3082
Niger State,4980
Ogun State,9963
Ondo State,4914
Osun State,7163
Oyo State,23398
Plateau State,8614
Rivers State,20362
Sokoto State,6144
Taraba State,2622
Unknown,≤100
Yobe State,2084
Zamfara State,2140
