Location name,Amount spent (THB)
Amnat Charoen,≤100
Ang Thong,≤100
Ayutthaya,350
Bangkok,10720
Bueng Kan,101
Buriram,387
Chachoengsao,270
Chai Nat,≤100
Chaiyaphum,264
Chanthaburi,223
Chiang Mai,1525
Chiang Rai,544
Chon Buri,1137
Chumphon,271
Kalasin,206
Kamphaeng Phet,599
Kanchanaburi,291
Khon Kaen,560
Krabi,411
Lampang,319
Lamphun,167
Loei,173
Lop Buri,212
Mae Hong Son,110
Maha Sarakham,272
Mukdahan,153
Nakhon Nayok,≤100
Nakhon Pathom,357
Nakhon Phanom,219
Nakhon Ratchasima,832
Nakhon Sawan,570
Nakhon Si Thammarat,1090
Nan,147
Narathiwat,271
Nong Bua Lam Phu,116
Nong Khai,168
Nonthaburi,892
Pathum Thani,641
Pattani,584
Phangnga,164
Phatthalung,497
Phayao,171
Phetchabun,232
Phetchaburi,168
Phichit,133
Phitsanulok,325
Phrae,140
Phuket,524
Prachin Buri,200
Prachuap Khiri Khan,280
Ranong,131
Ratchaburi,278
Rayong,498
Roi Et,282
Sa Kaeo,169
Sakon Nakhon,284
Samut Prakan,400
Samut Sakhon,390
Samut Songkhram,≤100
Saraburi,270
Satun,278
Sing Buri,≤100
Sisaket,321
Songkhla,2157
Sukhothai,256
Suphan Buri,220
Surat Thani,1664
Surin,326
Tak,315
Trang,233
Trat,159
Ubon Ratchathani,547
Udon Thani,474
Unknown,≤100
Uthai Thani,≤100
Uttaradit,154
Yala Province,299
Yasothon,146
