Location name,Amount spent (NGN)
Abia State,4361
Adamawa State,2348
Akwa Ibom State,4868
Anambra State,4412
Bauchi State,7633
Bayelsa State,846
Benué State,2284
Borno State,1786
Cross River State,10576
Delta State,6704
Ebonyi State,976
Edo State,3870
Ekiti State,667
Enugu State,11873
Federal Capital Territory,12056
Gombe State,6528
Imo State,4330
Jigawa State,364
Kaduna State,6012
Kano State,10047
Katsina State,3000
Kebbi State,1831
Kogi State,1931
Kwara State,2807
Lagos State,187949
Nasarawa State,1084
Niger State,2045
Ogun State,3328
Ondo State,1432
Osun State,1550
Oyo State,11040
Plateau State,18257
Rivers State,17255
Sokoto State,1235
Taraba State,898
Unknown,≤100
Yobe State,464
Zamfara State,258
