Location name,Amount spent (NGN)
Abia State,1016
Adamawa State,574
Akwa Ibom State,1177
Anambra State,749
Bauchi State,449
Bayelsa State,835
Benué State,1321
Borno State,661
Cross River State,289
Delta State,796
Ebonyi State,353
Edo State,2708
Ekiti State,219
Enugu State,822
Federal Capital Territory,11250
Gombe State,3201
Imo State,478
Jigawa State,210
Kaduna State,2130
Kano State,3928
Katsina State,512
Kebbi State,129
Kogi State,2086
Kwara State,967
Lagos State,8805
Nasarawa State,500
Niger State,1202
Ogun State,581
Ondo State,407
Osun State,497
Oyo State,3260
Plateau State,1094
Rivers State,3066
Sokoto State,958
Taraba State,385
Unknown,≤100
Yobe State,213
Zamfara State,434
