Page ID,Page name,Disclaimer,Amount spent (CRC),Number of ads in Library
117702158266385,Antonio Álvarez Desanti,Antonio Alvarez Desanti,6340,6
102851155670931,mUEve,mUEve,4306,4
117476041631671,AmCham Costa Rica,AmCham Costa Rica,3026,2
1540070352761579,Leslye Bojorges,Leslye Ruben Bojorges Leon,2350,2
101128242614247,Dr. Rodolfo Brenes Vargas,Rodolfo Brenes Vargas,1114,1
450806748585319,María Marta Carballo Diputada,Gabriela De Los Angeles Marin Quijano,988,2
797815127058039,Delighttourscancun,These ads ran without a disclaimer,295,1
103597027708447,SuperPlanet Games,These ads ran without a disclaimer,≤100,1
131189377574,MDPI,These ads ran without a disclaimer,≤100,1
608650595820049,The Conqueror Challenges,These ads ran without a disclaimer,≤100,4
1727280190891954,FRANCE 24 Español,These ads ran without a disclaimer,≤100,1
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,1
724693277719823,Drivepedia,These ads ran without a disclaimer,≤100,1
159655254060987,zChocolat.com,These ads ran without a disclaimer,≤100,1
110647840532680,Merge Mayor,These ads ran without a disclaimer,≤100,1
107703155980813,EarlyRise,These ads ran without a disclaimer,≤100,3
387062522084757,The Dressing Blog,These ads ran without a disclaimer,≤100,1
347614259651377,Carter Five,These ads ran without a disclaimer,≤100,6
102515798398539,Cartas de amor De Dios,These ads ran without a disclaimer,≤100,1
106274344755680,Exness LATAM,These ads ran without a disclaimer,≤100,1
107443581752203,Get In Gear,These ads ran without a disclaimer,≤100,2
