Location name,Amount spent (NGN)
Abia State,1558
Adamawa State,1630
Akwa Ibom State,1287
Anambra State,1620
Bauchi State,948
Bayelsa State,436
Benué State,2069
Borno State,1785
Cross River State,981
Delta State,3316
Ebonyi State,329
Edo State,1525
Ekiti State,679
Enugu State,1257
Federal Capital Territory,9339
Gombe State,1516
Imo State,3203
Jigawa State,296
Kaduna State,4565
Kano State,6849
Katsina State,1059
Kebbi State,346
Kogi State,872
Kwara State,2056
Lagos State,28007
Nasarawa State,847
Niger State,1423
Ogun State,1513
Ondo State,1501
Osun State,1677
Oyo State,7767
Plateau State,7736
Rivers State,2870
Sokoto State,1852
Taraba State,763
Unknown,≤100
Yobe State,744
Zamfara State,576
