Location name,Amount spent (THB)
Amnat Charoen,≤100
Ang Thong,≤100
Ayutthaya,198
Bangkok,6266
Bueng Kan,≤100
Buriram,217
Chachoengsao,166
Chai Nat,≤100
Chaiyaphum,208
Chanthaburi,119
Chiang Mai,983
Chiang Rai,264
Chon Buri,649
Chumphon,≤100
Kalasin,127
Kamphaeng Phet,341
Kanchanaburi,178
Khon Kaen,322
Krabi,109
Lampang,189
Lamphun,140
Loei,121
Lop Buri,116
Mae Hong Son,≤100
Maha Sarakham,151
Mukdahan,≤100
Nakhon Nayok,≤100
Nakhon Pathom,176
Nakhon Phanom,104
Nakhon Ratchasima,612
Nakhon Sawan,277
Nakhon Si Thammarat,311
Nan,≤100
Narathiwat,115
Nong Bua Lam Phu,≤100
Nong Khai,≤100
Nonthaburi,517
Pathum Thani,324
Pattani,210
Phangnga,≤100
Phatthalung,122
Phayao,113
Phetchabun,131
Phetchaburi,127
Phichit,≤100
Phitsanulok,222
Phrae,≤100
Phuket,158
Prachin Buri,101
Prachuap Khiri Khan,161
Ranong,≤100
Ratchaburi,199
Rayong,211
Roi Et,165
Sa Kaeo,≤100
Sakon Nakhon,340
Samut Prakan,239
Samut Sakhon,177
Samut Songkhram,≤100
Saraburi,123
Satun,≤100
Sing Buri,≤100
Sisaket,207
Songkhla,546
Sukhothai,133
Suphan Buri,137
Surat Thani,318
Surin,203
Tak,124
Trang,127
Trat,≤100
Ubon Ratchathani,300
Udon Thani,297
Unknown,≤100
Uthai Thani,≤100
Uttaradit,110
Yala Province,124
Yasothon,≤100
