Page ID,Page name,Disclaimer,Amount spent (CAD),Number of ads in Library
844239722367708,Innovative Medicines Canada / Médicaments novateurs Canada,Innovative Medicines Canada / Médicaments novateurs Canada,2262,218
184257548280251,Alberta's NDP,Alberta's NDP,2170,3
155609655007428,United Conservative Party of Alberta,United Conservative Party of Alberta,2057,10
103805636333615,Quality Canadian Milk - Lait canadien de qualité,Quality Canadian Milk - Lait canadien de qualité,1991,13
6319213302,Heart & Stroke,Heart & Stroke,1986,22
232428989879,Maybelline New York,Maybelline New York,1773,12
689157954518219,Danielle Smith,United Conservative Party,1587,11
118314421234127,Manitoba Watch 2023,Canada Growth Council,1522,3
102828041144081,Here For Students,Here For Students,1504,8
105020357850802,Pivot,Pivot,1402,14
154450024654,BC Teachers' Federation (BCTF),BC Teachers' Federation,1119,28
196322807083503,OECTA - Ontario English Catholic Teachers Association,OECTA - Ontario English Catholic Teachers Association,1024,13
186752164845450,Ana Bailao,Ana Bailao,991,1
376006035816016,Storyworth,These ads ran without a disclaimer,984,11
270323369737229,Elections Alberta,Elections Alberta,974,7
106348682400630,Nova - AI Chatbot,These ads ran without a disclaimer,934,3
106183171866567,Fairness for Drivers,Fairness for Drivers,731,16
197337921788,Dying With Dignity Canada,Dying With Dignity Canada,729,30
154462904588700,Enbridge Gas,Enbridge Gas,702,66
27234020592,UNICEF Canada,UNICEF Canada,696,13
163292090362894,Heart & Stroke Lottery,Heart & Stroke Lottery,648,2
23543314803,CUPE SCFP,CUPE SCFP,612,8
263417217038472,Forest Products Association of Canada,Forest Products Association of Canada,609,26
247550302115830,Elections Saskatchewan,Elections Saskatchewan,571,2
281999881613,World Vision Canada,World Vision Canada,571,5
107385241806,Plan International Canada,Plan International Canada,567,58
117109432079,CAMH Foundation,CAMH Foundation,540,19
453724058039992,viaSport British Columbia,viaSport British Columbia,526,18
283487578481273,Énergir,Énergir,522,10
106172275200668,GetBuilding,GetBuilding,517,11
110905578614041,Drax Group Canada,Drax Group Canada,507,88
115835521825983,UNHCR Canada,UNHCR Canada,505,48
232894981968,Nature Conservancy of Canada / Conservation de la nature Canada,Nature Conservancy of Canada / Conservation de la nature Canada,504,79
186062823629,Québec sans tabac,Conseil québécois sur le tabac et la santé,497,12
268823146480333,Fondation INCA,INCA,484,27
6584473365,Canadian Liver Foundation,Canadian Liver Foundation,478,3
5661704203,Conservative Party of Canada - Parti conservateur du Canada,Conservative Party of Canada - Parti conservateur du Canada,456,47
405377872902754,Canada Action,Canada Action,421,26
1583430205202800,City of Toronto,City of Toronto - Your Local Government,402,5
510183342342621,Bell MTS,Lavanya Rajaian,394,4
235872037238940,She Is Indigenous,Les Femmes Michif Otipemisiwak / Women of the Métis Nation,388,209
31912359596,University of Saskatchewan,University of Saskatchewan,385,8
1097840090260804,National Police Federation,National Police Federation,365,115
106231507615280,Delivering Community Power - Vers des collectivités durables,Canadian Union of Postal Workers,356,2
372498358268,Manitoba NDP Caucus,Manitoba NDP Caucus,355,16
160136850711053,CUPE Ontario,CUPE Ontario,346,24
114849617772737,Care2 Canada,Press Pause Collective,336,19
6095483909,Canadian Taxpayers Federation,Canadian Taxpayers Federation,334,54
53321777320,Coeur + AVC,Coeur + AVC,330,8
146592973368,Sunnybrook Health Sciences Centre,Sunnybrook Foundation,327,117
397610640623766,Saskatchewan Teachers' Federation,Saskatchewan Teachers' Federation,319,9
189141609842,Ville de Gatineau,These ads ran without a disclaimer,318,4
106917558391358,Alliance Nouvelles voies,Pathways Alliance,315,4
143249880633,World Animal Protection Canada,World Animal Protection Canada,314,30
203485052997041,Hospital Employees' Union,Hospital Employees' Union,305,6
200480966638039,Supremacy 1914,These ads ran without a disclaimer,300,2
