Location name,Amount spent (NGN)
Abia State,1138
Adamawa State,914
Akwa Ibom State,1851
Anambra State,988
Bauchi State,754
Bayelsa State,1227
Benué State,1206
Borno State,959
Cross River State,2608
Delta State,2606
Ebonyi State,343
Edo State,796
Ekiti State,456
Enugu State,845
Federal Capital Territory,5784
Gombe State,409
Imo State,540
Jigawa State,210
Kaduna State,2626
Kano State,3787
Katsina State,656
Kebbi State,229
Kogi State,631
Kwara State,1787
Lagos State,18079
Nasarawa State,560
Niger State,873
Ogun State,783
Ondo State,963
Osun State,1236
Oyo State,4822
Plateau State,1812
Rivers State,2681
Sokoto State,1487
Taraba State,911
Unknown,≤100
Yobe State,451
Zamfara State,378
