Location name,Amount spent (NGN)
Abia State,33683
Adamawa State,10434
Akwa Ibom State,25741
Anambra State,22542
Bauchi State,7704
Bayelsa State,5873
Benué State,6448
Borno State,8503
Cross River State,16088
Delta State,47026
Ebonyi State,2897
Edo State,28813
Ekiti State,4448
Enugu State,25235
Federal Capital Territory,143064
Gombe State,12327
Imo State,28489
Jigawa State,2666
Kaduna State,112433
Kano State,52565
Katsina State,7680
Kebbi State,2263
Kogi State,6942
Kwara State,15415
Lagos State,374206
Nasarawa State,6377
Niger State,9176
Ogun State,11654
Ondo State,8060
Osun State,10183
Oyo State,40525
Plateau State,13848
Rivers State,56313
Sokoto State,8271
Taraba State,4247
Unknown,253
Yobe State,3561
Zamfara State,2928
