Location name,Amount spent (NGN)
Abia State,9277
Adamawa State,7428
Akwa Ibom State,10995
Anambra State,8562
Bauchi State,5294
Bayelsa State,1496
Benué State,4744
Borno State,7073
Cross River State,2322
Delta State,5228
Ebonyi State,5007
Edo State,5275
Ekiti State,2300
Enugu State,7714
Federal Capital Territory,24645
Gombe State,5476
Imo State,5014
Jigawa State,2094
Kaduna State,18774
Kano State,40224
Katsina State,6009
Kebbi State,2960
Kogi State,3529
Kwara State,30083
Lagos State,62506
Nasarawa State,5561
Niger State,5009
Ogun State,3229
Ondo State,3040
Osun State,17663
Oyo State,19231
Plateau State,9586
Rivers State,31301
Sokoto State,6106
Taraba State,2158
Unknown,≤100
Yobe State,1848
Zamfara State,1724
