Location name,Amount spent (NGN)
Abia State,1767
Adamawa State,1628
Akwa Ibom State,1840
Anambra State,1284
Bauchi State,1461
Bayelsa State,2084
Benué State,648
Borno State,1718
Cross River State,563
Delta State,2554
Ebonyi State,≤100
Edo State,1760
Ekiti State,342
Enugu State,2183
Federal Capital Territory,8501
Gombe State,853
Imo State,748
Jigawa State,275
Kaduna State,6391
Kano State,10607
Katsina State,1769
Kebbi State,439
Kogi State,3777
Kwara State,2231
Lagos State,26385
Nasarawa State,822
Niger State,1782
Ogun State,1613
Ondo State,903
Osun State,1090
Oyo State,5125
Plateau State,2584
Rivers State,4276
Sokoto State,863
Taraba State,559
Unknown,109
Yobe State,913
Zamfara State,551
