Page ID,Page name,Disclaimer,Amount spent (KES),Number of ads in Library
362328664703,Start Talking Kenya,Well Made Strategy,1421,10
123182861072147,Hon Musalia W Mudavadi,Hon Musalia W Mudavadi,1000,1
102023009327901,Global Compassion Coalition,These ads ran without a disclaimer,982,1
103644672731725,Amb. Nancy Karigithu,Arkinst Limited,776,2
102090748246550,Hon. Charles Chweya Matoke,These ads ran without a disclaimer,668,1
1400771023469241,Anne Waiguru,Anne Waiguru,505,1
105920381249279,Vaulting Daily Auto,These ads ran without a disclaimer,296,2
102324481269298,Hon. Zamzam Mohammed,Hon. Zamzam Mohammed,292,3
1506723769658512,Susan Kihika,Susan Kihika,274,2
104015599403485,Baba Natalia,These ads ran without a disclaimer,263,1
112754900441156,DR. Kiarie Badilisha,DR. Kiarie Badilisha,235,1
780365355477607,Kenya Muslim Youth Alliance,Kenya Muslim Youth Alliance,195,1
106949005561867,Benjamilnho Mutua Drasta,These ads ran without a disclaimer,174,1
113748458313455,Mbelle Patrick Mwavula,These ads ran without a disclaimer,146,1
111999833837596,Hon Ali Menza Mbogo,Hon Ali Menza Mbogo,≤100,1
111679394767549,المشروع القومي لمشتقات البلازما,These ads ran without a disclaimer,≤100,1
115191378595924,Deputado Marçal Filho,These ads ran without a disclaimer,≤100,1
147710335240518,Eindhovens Dagblad,These ads ran without a disclaimer,≤100,1
131189377574,MDPI,These ads ran without a disclaimer,≤100,1
345840486219924,Energy China,These ads ran without a disclaimer,≤100,1
187766727949541,Deportivo Alavés,These ads ran without a disclaimer,≤100,3
102556029420226,Okie Girl Brands,These ads ran without a disclaimer,≤100,1
224597158386607,Rosa Luxemburg Foundation,These ads ran without a disclaimer,≤100,2
299227550122220,Radio Cina Internazionale,These ads ran without a disclaimer,≤100,1
2272485479733990,Consulate General of China in Erbil,These ads ran without a disclaimer,≤100,1
