Page ID,Page name,Disclaimer,Amount spent (PLN),Number of ads in Library
157458232131,Prawo i Sprawiedliwość,Prawo i Sprawiedliwość,3328,10
102931488739,Platforma Obywatelska,Platforma Obywatelska,3014,9
142614625077,WWF Polska,WWF Polska,2536,27
63563473556,Gazeta Wyborcza,Gazeta Wyborcza,2466,40
339855706171439,Dobra Fabryka,Dobra Fabryka,1910,9
102811109411234,Do:łącz,Dołącz,1702,12
196334343778888,Polskie Centrum Pomocy Międzynarodowej (PCPM),PCPM with Facebook ad credits,1192,36
111465470197991,Mateusz Morawiecki,Mateusz Morawiecki,1087,18
57544755889,Amnesty International Polska,Amnesty International Polska,1021,35
178362315106,European Parliament,European Parliament,959,6
380485532115847,Ministerstwo Rodziny i Polityki Społecznej,Ministerstwo Rodziny i Polityki Społecznej,885,2
469702339755768,Paweł Tanajno Polska Liberalna Strajk Przedsiębiorców,Iam4u.pl,820,149
1227194230675141,Pratia,Pratia SA,788,6
136884656519145,IOM Poland,International Organization for Migration,770,10
228168274881,wysokieobcasy,wysokieobcasy,751,22
107898832590939,European Commission,European Commission,734,2
1715196158626102,Operacja Czysta Rzeka,Operacjarzeka,715,16
180185019111,Tygodnik Powszechny,Tygodnik Powszechny,544,8
513969188677442,Compassion Polska,Compassion Polska,532,13
1683534065241470,OKO.press,OKO.press,531,20
308784726230232,Polskie Stowarzyszenie Zero Waste,Polskie Stowarzyszenie Zero Waste,506,2
147547541961576,Council of the European Union,Council of the European Union,500,8
108301418501661,Odszkodowania Za Represje 1944-1989,Łukasz Świątek,498,13
50063176484,TVN24,TVN,440,7
178415208919146,Solidarna Polska,Solidarna Polska,400,3
104921858016507,Dzień Dobry Podatki,Michał Wilk,395,9
406758116099067,Fundacja Kasisi,Fundacja Kasisi,386,5
182038191908977,Cyfryzacja KPRM,Kancelaria Prezesa Rady Ministrów,344,11
102466034698538,Ośrodek Monitorowania Chrystianofobii Fidei Defensor,Biuro Fidei Defensor,343,2
538078072919407,Nauka o klimacie,Nauka o klimacie,338,5
1937461523203000,Fundacja Promocji Pojazdów Elektrycznych FPPE,Fundacja Promocji Pojazdów Elektrycznych,329,17
344620515579640,Fundacja Równość.org.pl,Fundacja Równość.org.pl,323,16
311766890555,Fundacja Batorego,Fundacja Batorego,318,60
393084100793680,Wiedza i Praktyka,Wiedza i Praktyka,281,3
1381575975475340,EduAkcja - szkolenia dla nauczycieli,EduAkcja sp. z o.o.,273,10
300745193630,Fundacja Pro - Prawo do Życia,Fundacja Pro - Prawo do Życia,258,9
342701305934903,Małgorzata Chmiel - poseł na Sejm RP,Małgorzata Chmiel,250,1
475584852475176,Pozytron,Bartłomiej Jan Ginter,249,11
104061062331637,Pałac Saski,Pałac Saski Sp. z o.o.,248,7
395533923834784,PSL Mazowsze,Zarząd Wojewódzki Polskiego Stronnictwa Ludowego Województwa Mazowieckiego,240,24
205945942802470,Polska Agencja Rozwoju Przedsiębiorczości,Polska Agencja Rozwoju Przedsiębiorczości,236,4
109322024122568,Dagmara Adamiak,Dagmara Adamiak,223,4
137358556439286,Ośrodek Monitorowania Zachowań Rasistowskich i Ksenofobicznych,Ośrodek Monitorowania Zachowań Rasistowskich i Ksenofobicznych,220,14
334031263082,Międzynarodowy Festiwal Sztuk Przyjemnych i Nieprzyjemnych,Teatr Powszechny w Łodzi,216,2
1581518611867021,Zbigniew Ziobro,Zbigniew Ziobro,203,2
110554885250920,Postawmy na młodzież,Stowarzyszenie Projekt Poznań,197,19
391098174296294,Super Express,se.pl,194,4
137877409609952,Lewica,Nowa Lewica,188,2
173086948664,Infor.pl,Infor.pl,186,12
229797220398331,Kampania Przeciw Homofobii,Kampania Przeciw Homofobii with Facebook ad credits,183,86
256314858405394,Paweł Olszewski,Paweł Olszewski,174,3
104884392877324,Alivia,Alivia - Fundacja Onkologiczna,168,8
90194404398,Helsińska Fundacja Praw Człowieka,Helsińska Fundacja Praw Człowieka,162,73
203627442993022,Portal Oświatowy,Wiedza i Praktyka,157,3
200480966638039,Supremacy 1914,These ads ran without a disclaimer,154,2
371981706755861,Kierunek na EKO,OS3 Sp. z o. o.,152,3
168737999982045,Visegrad Insight,Visegrad Insight,152,2
387124011444132,Wojciech Saługa Poseł na Sejm,Wojciech Saługa,150,1
140982409255721,Miłość nie wyklucza,Miłość nie wyklucza,148,2
1476105062719575,Dariusz Matecki - Solidarna Polska,Dariusz Matecki - Solidarna Polska,145,6
131511477684330,Znak Horyzont,Społeczny Instytut Wydawniczy Znak sp. z o.o.,139,9
436111276479085,Sieć Obywatelska - Watchdog Polska,Sieć Obywatelska - Watchdog Polska,137,11
106708966025605,Wydawnictwo W.A.B.,Grupa Wydawnicza Foksal,136,3
292514454554454,Cartrack Polska,Cartrack Polska,132,2
362731483842344,Agro Trust - Skup i  #𝐖𝐢𝐚𝐝𝐨𝐦𝐨ś𝐜𝐢𝐙𝐛𝐨ż𝐨𝐰𝐞,Marcin Robert Witzling,128,1
127619873953536,Stefczyk.info,Stefczyk.info,122,3
101510036210805,Centrum Interwencji Kryzysowej w Łodzi,Centrum Promocji i Rozwoju Inicjatyw Obywatelskich OPUS,121,3
100740295192199,Przychodnia Lekarska Optima Przemyśl,Optima sp. z o.o.,120,3
198196133533089,Polska Misja Medyczna / Polish Medical Mission,Polska Misja Medyczna / Polish Medical Mission,116,9
144808095552639,ING Polska,ING Polska,115,4
142218132483199,Kasa Stefczyka,Kasa Stefczyka,115,2
76134197129,Radio TOK FM,Kinga Warwas,115,1
288949918697908,Łódzkie.pl,Województwo Łódzkie,110,3
107344527675114,Toyota - fabryka w Wałbrzychu,Szymon Jan Marczak,107,2
146036558887922,Polski Hokej,Polski Hokej,107,3
230415296997772,bydgoszcz.pl,bydgoszcz.pl,106,4
101675557899435,Wiadomości Szczecin,Gmina Miasto Szczecin,103,4
187613920648,Mazowiecka Wspólnota Samorządowa,Mazowiecka Wspólnota Samorządowa,102,3
129626970836,inFakt,inFakt,≤100,1
308684629246305,Tomasz Latos,Tomasz Latos,≤100,3
74863922834,Krytyka Polityczna,Krytyka Polityczna,≤100,6
2320275388297228,Marcin Romanowski,Marcin Romanowski,≤100,1
109218848183780,Marek Woźniak,UMWW,≤100,14
108228794910894,OdNowa,Stowarzyszenie OdNowa RP,≤100,1
378777385998461,Grupa MTP,Grupa MTP,≤100,4
457690554629140,Narodowy Instytut Architektury i Urbanistyki,Narodowy Instytut Architektury i Urbanistyki,≤100,1
312204349288060,Mariusz Gosek,Mariusz Gosek,≤100,4
105039892358886,FURPO - Świadczenie Pielęgnacyjne,FURPO GROUP SP. Z O.O.,≤100,8
505864632777215,Tygodnik Lisickiego,Orle Pióro sp. z o.o.,≤100,4
999568213449974,"Niezależni PV - Fotowoltaika dla domu, firmy i rolnictwa",Łukasz Zbigniew Czerwiński,≤100,22
749393698434460,Jarosław Krajewski,Jarosław Krajewski,≤100,2
286243508135957,Solidarna Polska - Nowe Pokolenie,Solidarna Polska,≤100,1
458946977560698,Paweł Szefernaker,Paweł Szefernaker,≤100,1
108567461681538,"Polska Katolicka, nie laicka",Fundacja Instytut Edukacji Społecznej i Religijnej im. Ks. Piotra Skargi,≤100,3
1450396205268277,Łukasz Reszka - Starosta Świdnicki,Łukasz Piotr Reszka,≤100,2
1528030200840040,Muzeum Ziemi Wiśnickiej w Nowym Wiśniczu,Muzeum Ziemi Wiśnickiej,≤100,5
144808095552639,ING Polska,These ads ran without a disclaimer,≤100,1
159205967423152,Stowarzyszenie Sursum Corda /w górę serca/,H4People,≤100,4
1882591205371526,Jan Kanthak,Jan Kanthak,≤100,2
101557568622941,Sklep Dobrej Fabryki,Fundacja Dobra Fabryka,≤100,1
174123027189,Instytut Spraw Publicznych,Fundacja Instytut Spraw Publicznych,≤100,2
195591907176717,Grzegorz Piechowiak - Wiceminister Rozwoju i Technologii,Biuro Posła Grzegorza Piechowiaka,≤100,2
202813996476257,Podlaski.info,Tygodnik Podlaski,≤100,2
283996612400,Fundacja Nasza Ziemia,Fundacja Nasza Ziemia,≤100,3
125185964281959,Centrum Edukacji Obywatelskiej (CEO),Centrum Edukacji Obywatelskiej (CEO),≤100,4
1224502281011628,Patryk Marjan,Patryk Marjan,≤100,1
490207317852864,Obserwatorium Polityki Miejskiej IRMiR,Instytut Rozwoju Miast i Regionów,≤100,1
159372977456756,Fundusze Europejskie dla Lubelskiego,Euvic Media,≤100,4
1492740934334328,Grupa ARCHE,These ads ran without a disclaimer,≤100,1
108072144154309,Sebastian Łukaszewicz,Sebastian Łukaszewicz,≤100,1
314299585704,PAT&RUB,Ecoidea Sp z oo Sp.k.,≤100,1
71543004041,Fundacja Dajemy Dzieciom Siłę,Greta Repeć,≤100,3
1489158561337371,Dariusz Olszewski,Dariusz Olszewski,≤100,1
621959344553367,DNA Rynków - merytorycznie o giełdach i gospodarkach,DNA Rynków,≤100,13
2247835298784233,Aleksandra Łapiak,Aleksandra Łapiak,≤100,1
514245432058229,Piotr Kandyba - Radny Sejmiku Województwa Mazowieckiego,Piotr Kandyba - Radny Sejmiku Województwa Mazowieckiego,≤100,12
110988546918361,Fundusz dla Odmiany,Fundusz dla Odmiany,≤100,4
1496359750659795,Michał Wójcik,Michał Wójcik,≤100,1
1607487699534202,Krzysztof Hetman,Krzysztof Hetman,≤100,2
81885462442,Histmag.org,Histmag.org,≤100,7
170894632966683,Warszawski Instytut Bankowości,Sektorowa Rada ds. Kompetencji Sektora Finansowego,≤100,3
110600210285711,Księgarnia Foksal,Grupa Wydawnicza Foksal,≤100,1
230754547069436,Michał Woś,Michał Woś Poseł na Sejm RP,≤100,1
100507332348221,Liberfor,Liberfor,≤100,2
286672948180163,Tomasz Trela,Poseł Tomasz Trela,≤100,4
2047620422187396,Anna Wojciechowska,Anna Wojciechowska,≤100,3
255100403945,Polityka,Polityka,≤100,2
371359310400318,Janusz Kowalski,Janusz Kowalski,≤100,3
193147390711519,miastoNS.pl,miastoNS.pl,≤100,1
603295086483883,Łukasz Schreiber - Poseł na Sejm RP,Łukasz Schreiber - Poseł na Sejm RP,≤100,4
416203085182275,Antoni Hodak,Antoni Hodak,≤100,1
107280785612581,Krakowskie Centrum Edukacji Klimatycznej,Krakowskie Centrum Edukacji Klimatycznej,≤100,4
2152238558396822,Mariusz Kałużny,Mariusz Kałużny,≤100,1
561843337248654,Michał Drewnicki - wiceprzewodniczący Rady Miasta Krakowa,Michał Krzysztof Drewnicki,≤100,2
