Page ID,Page name,Disclaimer,Amount spent (PLN),Number of ads in Library
654912251187357,Grupa PGE,Grupa PGE,1942,3
178362315106,European Parliament,European Parliament,1087,4
57544755889,Amnesty International Polska,Amnesty International Polska,1065,30
228366267271894,Warsaw Enterprise Institute,Fundacja Warsaw Enterprise Institute,960,17
63563473556,Gazeta Wyborcza,Gazeta Wyborcza,952,16
111465470197991,Mateusz Morawiecki,Mateusz Morawiecki,947,13
182038191908977,Cyfryzacja KPRM,Kancelaria Prezesa Rady Ministrów,908,14
196334343778888,Polskie Centrum Pomocy Międzynarodowej (PCPM),PCPM with Facebook ad credits,802,19
469702339755768,Paweł Tanajno Polska Liberalna Strajk Przedsiębiorców,Iam4u.pl,792,132
513969188677442,Compassion Polska,Compassion Polska,764,24
393084100793680,Wiedza i Praktyka,Wiedza i Praktyka,604,8
110004834237780,Obrona Kościoła,Stowarzyszenie Kultury Chrześcijańskiej im. Ks. Piotra Skargi,601,1
339855706171439,Dobra Fabryka,Dobra Fabryka,589,12
450781218391641,Protestuj.pl,Stowarzyszenie Kultury Chrześcijańskiej im. Ks. Piotra Skargi,580,1
32104614789,Greenpeace Polska,Greenpeace Polska,559,5
105636040979969,Polska 2050,Fundacja Polska Od Nowa,547,4
273827962690526,Otwarte Klatki,Otwarte Klatki,531,11
100396149568299,Klimatyczna Baza Wiedzy,Klimatyczna Baza Wiedzy,517,16
50063176484,TVN24,TVN,492,13
228168274881,wysokieobcasy,wysokieobcasy,466,8
104061062331637,Pałac Saski,Pałac Saski Sp. z o.o.,391,6
103189994608689,20stopni.pl,Konceptlab,360,7
1407603489492838,Instytut na rzecz Kultury Prawnej Ordo Iuris,Instytut na rzecz Kultury Prawnej Ordo Iuris,352,2
295161506338,AKADEMIA PRZYSZŁOŚCI,Stowarzyszenie Wiosna,351,17
137358556439286,Ośrodek Monitorowania Zachowań Rasistowskich i Ksenofobicznych,Ośrodek Monitorowania Zachowań Rasistowskich i Ksenofobicznych,336,7
