Page ID,Page name,Disclaimer,Amount spent (ILS),Number of ads in Library
103851839280828,חופשי בארצנו - מטה המאבק,מטה המאבק - נלחמים על הדמוקרטיה,8186,78
109049212192912,יעקב בורובסקי-לראשות העיר חיפה,יעקב בורובסקי-לראשות העיר חיפה,5195,16
111523625527552,התנועה לאיכות השלטון,התנועה לאיכות השלטון,3331,7
107217383988190,מגזין אפוק,Epoch Magazine,2908,67
115456451553737,יונה יהב,יונה יהב,1819,16
199381213757428,שי קינן - shai keinan,שי קינן - shai keinan,1618,3
116563891775107,עיריית פתח תקווה,עיריית פתח תקוה,1585,54
44385426513,Greenpeace Israel   - גרינפיס ישראל,Greenpeace Israel   - גרינפיס ישראל,1350,17
1534418936869034,אתר החדשות דבר,אתר החדשות דבר,1305,7
114429471587565,"יפעת עובדיה לוסקי - יו""ר קק""ל",קרן קימת לישראל,1277,2
428948830813584,"מגדילים - האתר הישראלי להתחדשות עירונית ונדל""ן","מגדילים - האתר הישראלי להתחדשות עירונית ונדל""ן",1272,47
138399090105076,הבנק החברתי למזון תינוקות,הבנק החברתי למזון תינוקות,1265,2
153664638161877,מתן דיל- Matan Dil,מתן דיל- Matan Dil,1221,7
1073548259341247,לובי 99,לובי 99,1103,6
197318587089671,יורם שמעון - Yoram Shimon,יורם שמעון - Yoram Shimon,925,2
249479152534875,Kfir Swisa - כפיר סויסה,Kfir Swisa - כפיר סויסה,910,3
1662907067255622,איגוד הגז הטבעי,Unik,789,4
1954699454767994,שי זולדן - Shay Zoldan,שי זולדן,783,13
108714485611920,רמי גרינברג ראש עיריית פתח תקווה - סיעת התחדשות למועצת העיר,רמי גרינברג ראש עיריית פתח תקווה - סיעת התחדשות למועצת העיר,745,3
161648040544835,יצחק הרצוג - Isaac Herzog,יצחק הרצוג - Isaac Herzog,724,2
163213311020271,רונן סלטון לראשות המועצה,רונן סלטון לראשות המועצה,706,3
124894077550811,ישראל חופשית,ישראל חופשית,693,7
562900707171914,ליעד אילני לראשות עיריית רמת-גן,סיעת רמת-גן שלנו,680,3
500238833397356,ציפי ברנד,ציפי ברנד,629,12
204780362875106,מקור ראשון,מקור ראשון,611,49
108787681841168,רישיון נשק בקליק,רישיון נשק בקליק,590,2
474079052648531,יועז הנדל   Yoaz Hendel,יועז הנדל,577,1
219091481560790,מרים פיירברג - איכר,נתניה אחת,539,2
160119221434385,דוד עציוני -ראש העיר חיפה,דוד עציוני -ראש העיר חיפה,515,4
109234611748978,منظمة العفو الدولية في اسرائيل,Amnesty International Israel,463,4
315149999091604,אביש שלמה לראשות מועצה אזורית מנשה,אביש שלמה לראשות מועצה אזורית מנשה,460,12
104020512761050,أجا الوقت,Standing Together,436,2
146122195591636,שלומי לחיאני - בת ים בראש מורם,שלומי לחיאני - בת ים בראש מורם,417,31
369655989728696,אסף דעבול - Asaf Daabul,אסף דעבול - Asaf Daabul,415,5
361464970647064,זהר בלום - Zohar Blum,זהר בלום - Zohar Blum,396,2
117658294683078,ישראלTop5,top5israel,390,4
111919847028684,שומרים - המרכז לתקשורת ודמוקרטיה,שומרים - המרכז לתקשורת ודמוקרטיה,389,4
1457440094475905,Stav Shaffir סתיו שפיר,Stav Shaffir סתיו שפיר,367,3
104422122740691,Рами Гринберг - мэр Петах-Тиквы,רמי גרינברג ראש עיריית פתח תקווה - סיעת התחדשות למועצת העיר,366,1
106729829160918,גייל שורש לראשות העיר רמת השרון,free ramat hasharon,358,6
124395890927240,הקרן החדשה לישראל,הקרן החדשה לישראל,355,12
877405719007268,מכון ארגמן - Argaman Institute,מכון ארגמן,343,24
120240631007633,הילה לנקרי-מיוסט,הילה לנקרי-מיוסט,339,4
221429664638160,קדמה,קדמה,337,6
316346795391337,"פתח לתקווה - בראשות עו""ד אורנה דוידאי","פתח לתקווה - בראשות עו""ד אורנה דוידאי",333,7
279345532129864,ההסתדרות הציונית העולמית,ההסתדרות הציונית העולמית,328,5
1484712825147171,Tomer Warsha Adv • Immigration to Israel • Aliya • Immigrants • Citizenship,"משרד עו""ד תומר ורשה",327,13
767262423350854,פורום הדיור הציבורי,פורום הדיור הציבורי,326,2
104222621115858,הביטחוניסטים,הביטחוניסטים,324,9
112779795076593,שי יזרעאלי - לראשות המועצה האזורית עמק יזרעאל,שי יזרעאלי - לראשות המועצה האזורית עמק יזרעאל,320,5
114630296604026,"Davar - Workers, Society and Economy in Israel",דבר העובדים בארץ ישראל,317,4
536794249813012,תומר גלאם - Tomer Glam,תומר גלאם - Tomer Glam,309,3
103851895179872,אמהות לביאות,אמהות לביאות,308,4
1376946122530211,ניסן בן חמו - Nisan Ben Hamo,ניסן בן חמו - Nisan Ben Hamo,306,16
109523830757998,דמוקרטtv,דרכנו,300,2
107124799990825,חן שרייבר-נשיא לשכת רואי החשבון בישראל,חן שרייבר,297,6
1129270547137227,EcoHeat,"אקוהיט מערכות חימום בע""מ",282,1
112789521875571,Давид Эциони - мэр Хайфы,Давид Эциони - мэр Хайфы,274,1
107836625941364,Yair Lapid - יאיר לפיד,מפלגת יש עתיד,272,2
119889504408611,שלומי קדוש חבר מועצת העיר קרית ים,שלומי קדוש חבר מועצת העיר קרית ים,265,3
632806616739261,איציק רוכברגר 2023,איציק רוכברגר 2023,263,1
1514952655390958,משרד תומר ורשה - עורכי דין • הגירה והסדרת מעמד • אשרות בישראל • זכויות אדם,"משרד עו""ד תומר ורשה",262,9
132107110817900,"מרכז הנדל""ן","מרכז הנדל""ן",260,7
104405316012511,עליזה בלוך - Aliza Bloch,עליזה בלוך,259,10
106836891775374,אסנת ספורטה - Osnat Saporta,אסנת ספורטה - Osnat Saporta,255,4
269134040188575,Shimon Katznelson - שמעון כצנלסון,Shimon Katznelson - שמעון כצנלסון,255,1
233543866802446,גבריאל ריזינשוילי - Gabriel Rizinashvili,גבריאל ריזינשוילי - Gabriel Rizinashvili,251,3
205153712969285,מרצ רמת גן,מרצ רמת גן,250,3
101573499695928,ים מאיר קרן,נתניה אחת,247,2
128753804569169,"עו""ד רחל פרץ גלם לראשות המועצה האזורית באר טוביה","עו""ד רחל פרץ גלם לראשות המועצה האזורית באר טוביה",243,2
115755304767435,אושר שקלים - Osher Shkalim,אושר שקלים - Osher Shkalim,241,3
111207016890796,Liora Levy - ליאורה לוי,נתניה אחת,241,2
124191360932729,התעוררות בירושלים,התעוררות בירושלים,240,8
308048836418327,הילה שלם והתושבים - רצים לראשות העיר,הילה שלם והתושבים - רצים לראשות העיר,237,4
109242871232111,מתן בארי,מתן בארי,237,2
134317898540,דרך חדשה לקריית שמונה - בראשות אופיר יחזקאלי,דרך חדשה לקריית שמונה - בראשות אופיר יחזקאלי,228,2
101321749348491,אליהו רביבו Eliyahu Revivo,אליהו רביבו Eliyahu Revivo,228,2
276364932900823,יוני חכימי לראשות פרדס חנה כרכור,יוני חכימי לראשות פרדס חנה כרכור,226,4
954415847987172,תעסוקה שווה - פתרונות תעסוקה למעסיקים ולאנשים עם מוגבלות,תעסוקה שווה - פתרונות תעסוקה למעסיקים ולאנשים עם מוגבלות,226,29
1435922513325831,איציק לב לראשות העיר חריש,איציק לב לראשות העיר חריש,221,11
107107231197546,אלון אזולאי -Alon Azulay,אלון אזולאי -Alon Azulay,209,5
979469898759509,יוסי חביליו - Yosi Havilio,יוסי חביליו - Yosi Havilio,209,6
493870400705407,"ד""ר אלי לחמני","ד""ר אלי לחמני",208,1
2087629251480875,רונן מרלי - Ronen Marelly,רונן מרלי - Ronen Marelly,207,1
155300937864628,המרכז להעצמת האזרח,המרכז להעצמת האזרח,207,2
115855324877194,ג'ולי קייט למועצת העיר באר שבע,ישראל ביתנו,206,1
256546887847232,עיריית רמת גן,עיריית רמת גן,205,4
756869797682674,Свободный Израиль,Свободный Израиль,204,1
105934298594064,יוסי כהן - Yossi Cohen,יוסי כהן - Yossi Cohen,203,7
319883612234507,ליאור שמחה - Lior Zimche,ליאור שמחה - Lior Zimche,203,4
2072612056303907,مصعب عادل دخان - Musab Adel Dukhan,مصعب عادل دخان - Musab Adel Dukhan,202,2
337591096309750,Embassy of Ukraine in the State of Israel,Embassy of Ukraine in the State of Israel,201,1
216394682076449,צילה רשף מועצת זכרון יעקב,צילה רשף מועצת זכרון יעקב,198,6
100150135880863,תכלית - המכון למדיניות ישראלית,Tachlith,193,2
105275438920642,חדשות גוש דן,These ads ran without a disclaimer,193,4
305986442906304,סלע מאיר הוצאה לאור,סלע מאיר דיגיטל,190,2
109901032124238,גל זנדני,גל זנדני,187,12
140870339416063,משה ינאי,משה ינאי,187,3
107743945685242,שלום יפרח לראשות מועצה אזורית לכיש,שלום יפרח,187,2
109717378827781,באה בטוב - קרן מקסימוב ברנדס לראשות העיר רמת השרון,Keren-MB - קרן מקסימוב ברנדס,187,1
380816475304653,Yuval zellner - יובל צלנר,Yuval zellner - יובל צלנר,187,2
102524746200583,רחמים מלול - ראש עיריית רחובות,רחמים מלול,187,5
105744449044010,Алон Азулай,Алон Азулай,187,2
108115348997001,מידן בר לראשות מועצת עמק חפר,מידן בר,186,11
103185328887035,דניאל ליזרוביץ',דניאל ליזרוביץ',185,3
358388837629256,דרור שור לראשות מועצת באר טוביה,דרור שור לראשות מועצת באר טוביה,185,1
100962763064910,בן כהן - לראשות המועצה באר טוביה,בן כהן,185,9
125126963820139,סיעת רקביחד,רז קינסטליך- בחירות לראשות עיריית ראשל״צ,183,3
313816005938472,תנופה לעפולה - שומרים על הבית,תנופה לעפולה - שומרים על הבית,183,7
108760035823125,The Van Leer Jerusalem Institute - מכון ון ליר בירושלים,The Van Leer Jerusalem Institute - מכון ון ליר בירושלים,183,12
954031624746112,סימה כחלון - לראשות מועצת עומר,סימה כחלון - לראשות מועצת עומר,183,3
1838534943110252,שלמה שש  גן רווה,שלמה שש  גן רווה,183,4
100663859328863,עופרי סיידה,עופרי סיידה,182,2
1694881230559425,אבירם דהרי,אבירם דהרי,182,5
114541781256236,Джули Каит,ישראל ביתנו,182,1
108220028402956,هيثم طه - رئيس بلدية كفر قاسم القادم بإذن الله,هيثم طه - رئيس بلدية كفر قاسم القادم بإذن الله,179,2
444832565529651,המכון הישראלי לדמוקרטיה,המכון הישראלי לדמוקרטיה,177,40
102684482764860,داني عطار لرئاسة المجلس الإقليمي جلبوع,داني عطار لرئاسة المجلس الإقليمي جلبوع,174,5
189543984502825,משה קונינסקי,משה קונינסקי,171,2
107267941774176,רמת-גן שואלת,סיעת רמת-גן שלנו,167,2
723141737847411,ראובן לדיאנסקי,ראובן לדיאנסקי,166,3
