Location name,Amount spent (NGN)
Abia State,3082
Adamawa State,1163
Akwa Ibom State,2097
Anambra State,2523
Bauchi State,1341
Bayelsa State,1856
Benué State,1046
Borno State,927
Cross River State,1142
Delta State,9616
Ebonyi State,834
Edo State,1560
Ekiti State,437
Enugu State,2044
Federal Capital Territory,8803
Gombe State,457
Imo State,1124
Jigawa State,236
Kaduna State,3417
Kano State,5816
Katsina State,755
Kebbi State,224
Kogi State,1506
Kwara State,1314
Lagos State,21909
Nasarawa State,603
Niger State,1188
Ogun State,1023
Ondo State,1182
Osun State,1148
Oyo State,7078
Plateau State,1946
Rivers State,4823
Sokoto State,1424
Taraba State,1465
Unknown,≤100
Yobe State,465
Zamfara State,343
