Page ID,Page name,Disclaimer,Amount spent (CAD),Number of ads in Library
10419173702,Maxime Bernier,People's Party of Canada,3444,13
6319213302,Heart & Stroke,Heart & Stroke,2220,34
303473312998028,FedEx,FedEx,2200,4
163261390365324,Elementary Educators,Elementary Educators,2124,117
118314421234127,Manitoba Watch 2023,Canada Growth Council,1879,13
118040041222760,Juan Luis Garrido,Juan Luis Garrido,1776,4
104386908631938,Pathways Alliance,Pathways Alliance,1751,6
162936387068600,Ontario Public Service Employees Union (OPSEU),Ontario Public Service Employees Union (OPSEU/SEFPO),1564,4
1583430205202800,City of Toronto,City of Toronto - Your Local Government,1554,19
45337425068,CARE Canada,CARE Canada,1536,4
633812813408377,Elections Canada,Elections Canada,1446,28
249042335139282,BDC,BDC,1354,31
27234020592,UNICEF Canada,UNICEF Canada,1194,9
1711780249072322,Anthony Furey,Furey for Mayor,1183,10
5661704203,Conservative Party of Canada - Parti conservateur du Canada,Conservative Party of Canada - Parti conservateur du Canada,1146,61
121222984568561,Amnesty International Canada,Amnesty International Canada,1050,125
195608229977,BC NDP,BC NDP,916,14
154462904588700,Enbridge Gas,Enbridge Gas,880,74
172675656776719,PS j'ai la SP,Sophie Berriault,868,4
110561408638361,Coalition of First Nations for Finfish Stewardship,Coalition of First Nations for Finfish Stewardship,813,10
168106993245736,Canada Post,Canada Post,794,3
171838976178751,Canadian Women's Foundation,Canadian Women's Foundation,790,21
24235835555,Kids Help Phone,Kids Help Phone,729,49
439345863190331,Brad Bradford,Brad Bradford Campaign,712,8
1097840090260804,National Police Federation,National Police Federation,710,81
186563811522,Centrale des syndicats du Québec (CSQ),Centrale des syndicats du Québec (CSQ),709,25
844239722367708,Innovative Medicines Canada / Médicaments novateurs Canada,Innovative Medicines Canada / Médicaments novateurs Canada,652,110
268823146480333,Fondation INCA,INCA,646,16
186266941387011,BMO Financial Group,BMO Financial Group,638,3
160136850711053,CUPE Ontario,Sonya Yalda,628,4
103805636333615,Quality Canadian Milk - Lait canadien de qualité,Quality Canadian Milk - Lait canadien de qualité,612,12
19750184960,Greenpeace Canada,Greenpeace Canada,601,110
60266912006,Liberal Party of Canada | Parti libéral du Canada,Liberal Party of Canada | Parti libéral du Canada,570,274
281999881613,World Vision Canada,World Vision Canada,513,4
126625247383774,Export Development Canada - Exportation et développement Canada,Export Development Canada - EDC,497,17
35715544220,Stand.earth,Stand.earth,493,20
102828041144081,Here For Students,Here For Students,474,7
101535288988376,Ontario's Clean Energy Advantage,Association of Power Producers of Ontario,425,3
53321777320,Coeur + AVC,Coeur + AVC,425,31
167800183238142,YourAlberta (Government of Alberta),YourAlberta (Government of Alberta),424,2
372498358268,Manitoba NDP Caucus,Manitoba NDP Caucus,417,28
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,409,4
453724058039992,viaSport British Columbia,viaSport British Columbia,405,34
261752512263,Canadian Red Cross,Canadian Red Cross,404,12
6095483909,Canadian Taxpayers Federation,Canadian Taxpayers Federation,404,42
106917558391358,Alliance nouvelles voies,Pathways Alliance,400,2
510183342342621,Bell MTS,Lavanya Rajaian,391,2
901776976544599,RBC Wealth Management,RBC Wealth Management,386,2
