Page ID,Page name,Disclaimer,Amount spent (MXN),Number of ads in Library
108819392526809,Partido Acción Nacional,Partido Acción Nacional,113553,43
112882117843391,Morena Estado de México,morenaedomex.si,37054,65
209770450386,El Gobierno de Nuevo León,Gobierno del Estado de Nuevo León,20544,2
923633637651202,Morena Sí,Morena Sí,17191,13
140073896059152,Alejandro Armenta,Alejandro Armenta Mier,14252,4
237286396650510,Enkoll Inteligencia de Mercados,Enkoll,13240,30
110424554200976,Rafaga Informativa,Ráfaga Informativa,11875,12
106159885479677,Las Noticias México,Las Noticias México,11339,4
354326078079338,Campaigns and Elections Mexico,Campaigns & Elections México,10642,37
100320426220425,Colima con C de Claudia,Colima con C de Claudia S.A DE C.V,9952,113
146709175702544,Gobierno de Quintana Roo,ELEMENTAL,9923,11
104066812502973,La raíz del cambio,LA RAÍZ DEL CAMBIO S.A DE C.V,9161,113
118921468203786,Movimiento Ciudadano,Movimiento Ciudadano,8947,6
110649732291877,Secretaría de Desarrollo Económico Sustentable (SDES),Secretaría de Desarrollo Económico y Sustentable Guanajuato,8742,14
345995382241686,PODER 360,PODER 360,7892,16
457581867618996,Secretaría de Desarrollo Social y Humano,Secretaría de Desarrollo Social y Humano,7571,4
2080742535476556,"Secretaría de Finanzas, Inversión y Administración","Secretaria de Finanzas, Inversión y Administración",7550,4
124047777702377,Secretaría de Gobierno de Guanajuato,Secretaría de Gobierno de Guanajuato,7531,4
104680124489636,Demoscopia Digital,Demoscopia Digital,7396,142
105728245738079,Andan Agusto,Que Siga López,7229,16
105097171575007,La LOCAL Mx,La LOCAL Mx,7146,5
371398486227348,Secretaría de Medio Ambiente y Ordenamiento Territorial,Secretaria de Medio Ambiente y Ordenamiento Territorial SMAOT,6924,7
114719673728509,La Silla Informativa,La Silla Informativa,6221,5
106295648496570,Infiltrados Tamaulipas,Estamos Unidos Mexicanos,6129,11
122404620204,Oxfam México,OXFAM MEXICO AC,6075,5
340786939279382,Secretaría de Educación de Guanajuato SEG,Secretaría de Educación de Guanajuato,5717,18
2091732304477564,Senadores Ciudadanos,Grupo Parlamentario de Movimiento Ciudadano en el Senado de la República,5320,5
273255793312747,EL INFORMANTE Edo Mex,EL INFORMANTE México,4951,7
250717388400467,SICOMGuanajuato,SICOMGuanajuato,4947,4
109488981975636,Chicharrón norteño,Omar Aguirre Meneses,4927,1
100261186230213,El cambio es juntxs,El Cambio es Juntos S.a de C.v,4852,86
245685942538080,VOTA Querétaro,VOTA Querétaro,4688,9
101301916123086,Transformarte,transformarteconlat.com,4662,58
104868202533100,Café y Noticias Mx,cafeynoticiasmx.com,4619,82
113990284949467,Avance y Progreso,avanceyprogreso.com,4619,87
108075988755990,Nayaritas con la transformación,Nayaritas con la transformación,4448,58
113573477135935,Servicio de Administración Tributaria del Estado de Guanajuato,Servicio de Administración Tributaria del Estado de Guanajuato,4447,23
180533315991,Guanajuato Gobierno del Estado,Gobierno del Estado de Guanajuato,4392,3
109004905332009,El corazón de la transformación,El corazón de la transformación,4259,54
437088163017257,Secretaría de Salud de Guanajuato,Secretaría de Salud de Guanajuato,4090,6
178625645626125,Movimiento Ciudadano Nuevo León,Movimiento Ciudadano NL,3902,16
450197489139926,Jalisco Noticias,Sistema Jalisciense de Radio y Televisión,3893,41
102551913153712,Ricardo Monreal A.,Ricardo Monreal Ávila,3853,4
56713285274,Greenpeace México,Greenpeace México,3789,6
107123832200376,El Valor de Transformar,EL VALOR DE TRANSFORMAR S.A DE C.V,3778,29
100483239526430,Con ella Sí avanzamos,conellasiavanzamos.com,3619,84
111300295094359,Baja Sur piel morena,BCS de piel morena,3519,29
107657435584767,Honestidad y Esperanza para Morelos,Honestidad y Esperanza para Morelos,3478,3
105121875731197,Consumidor Informado Mx,Consumidor Informado Mx,3444,1
105952077836615,IdeaGto,Idea Gto,3379,12
101090286010719,Gestoría Social Para el Bienestar Baja California Sur,Luis Felipe Benitez Gomez,3333,1
105179348735917,Gestoría Social para el Bienestar,Luis Felipe Benitez Gomez,3267,1
102974085286742,Valle de la Mentefactura,Idea Gto,3252,15
114175028689083,Juan José Jiménez Yáñez,Juan José Jiménez Yáñez,3180,12
108737448471399,Altavoz Web,Altavoz Web,3144,2
1613868898897076,Waldo Fernández González,Waldo Fernández González,3134,7
140242770250742,La Cuarta Transformación,La Cuarta Transformación,3023,1
1734951530056727,Carmen Lilia Canturosas,Carmen Lilia Canturosas,3000,16
108575570895919,Carmelitas al día,Carmelitas al día,2852,1
618999065395266,Mérida sin censura,Mérida sin censura,2831,2
105291228709143,Rotativo México,Rotativo México,2823,2
114728268088874,El más Grande va con la Mejor,El más Grande va con la Mejor,2735,29
806858212689187,Pablo Lemus Navarro,Pablo Lemus Navarro,2578,35
133059550071850,Gobierno de Guadalajara,Gobierno de Guadalajara,2510,15
109634395756375,Save the Children México,Save the Children México,2507,22
206323119403212,Mario Delgado Carrillo,Mario Delgado Carrillo,2495,4
424354117897066,Noticias En El Punto,Noticias en el Punto,2494,6
269877666449337,Movimiento Ciudadano Jalisco,Movimiento Ciudadano,2408,4
264060497093390,Shamir Fernández Hernández,Gabriel Francisco Pedro,2356,10
105426922369721,Valentía Morena,Valentía Morena S.a de C.v,2277,1
420690148033445,Enrique Galindo Ceballos,Francisco Enrique Galindo Ceballos,2257,19
493453457351145,Coparmex Nacional,Coparmex Nacional,2187,12
326647354840146,Sergio Gutiérrez Luna,Sergio Gutiérrez Luna,2140,3
669306863144908,Alberto Esquer,Alberto Esquer,2109,6
285058928236909,Mauricio Vila,Mauricio Vila,2085,15
100236952935676,La Naranja Fosfo,La Naranja Fosfo,2034,5
294591180601746,Dr. Carlos Lomelí Bolaños,Dr. Carlos Lomelí Bolaños,1977,4
428903227172775,AyuntaMÉRIDA,AyuntaMÉRIDA,1932,7
130352294189330,Adrián Oseguera,Adrián Oseguera,1910,2
101781255389017,La Mañanera,La Mañanera,1842,3
837607596288104,Eliseo Fernández Montufar,Community Manager,1825,2
102558755336180,El Bernal,El Bernal Mx,1798,2
154652694604556,Ricardo Gallardo Cardona,Ricardo Gallardo Cardona,1790,2
1505965219699374,Salomón Chertorivski,Salomón Chertorivski,1777,2
445357105989777,Ingreso IPN UNAM Comipems 2023,Ingreso IPN UNAM Comipems 2023,1750,3
380259112175320,Nueva Alianza Edomex,Nueva Alianza Estado de México,1734,2
108687728744220,Caribe Noticias,Caribe Noticias,1707,4
