Location name,Amount spent (NGN)
Abia State,1778
Adamawa State,874
Akwa Ibom State,838
Anambra State,943
Bauchi State,1279
Bayelsa State,166
Benué State,348
Borno State,1138
Cross River State,408
Delta State,5020
Ebonyi State,189
Edo State,3243
Ekiti State,277
Enugu State,1225
Federal Capital Territory,5776
Gombe State,1049
Imo State,401
Jigawa State,119
Kaduna State,2705
Kano State,4857
Katsina State,1064
Kebbi State,224
Kogi State,513
Kwara State,1313
Lagos State,15748
Nasarawa State,306
Niger State,1456
Ogun State,364
Ondo State,425
Osun State,1154
Oyo State,4919
Plateau State,1452
Rivers State,3519
Sokoto State,843
Taraba State,287
Unknown,≤100
Yobe State,277
Zamfara State,397
