Location name,Amount spent (NGN)
Abia State,777
Adamawa State,686
Akwa Ibom State,1116
Anambra State,1270
Bauchi State,939
Bayelsa State,919
Benué State,735
Borno State,740
Cross River State,1099
Delta State,13213
Ebonyi State,413
Edo State,520
Ekiti State,194
Enugu State,889
Federal Capital Territory,4714
Gombe State,2484
Imo State,396
Jigawa State,272
Kaduna State,2575
Kano State,4208
Katsina State,783
Kebbi State,253
Kogi State,286
Kwara State,937
Lagos State,13880
Nasarawa State,677
Niger State,890
Ogun State,1311
Ondo State,596
Osun State,700
Oyo State,4271
Plateau State,994
Rivers State,7504
Sokoto State,763
Taraba State,1207
Unknown,≤100
Yobe State,522
Zamfara State,411
