Location name,Amount spent (NGN)
Abia State,1631
Adamawa State,1413
Akwa Ibom State,1121
Anambra State,3783
Bauchi State,1352
Bayelsa State,1364
Benué State,760
Borno State,1825
Cross River State,4978
Delta State,2503
Ebonyi State,229
Edo State,1216
Ekiti State,472
Enugu State,995
Federal Capital Territory,13976
Gombe State,1821
Imo State,2804
Jigawa State,485
Kaduna State,5087
Kano State,7462
Katsina State,1435
Kebbi State,189
Kogi State,620
Kwara State,2356
Lagos State,17833
Nasarawa State,1047
Niger State,2067
Ogun State,1156
Ondo State,900
Osun State,1271
Oyo State,5862
Plateau State,2151
Rivers State,5289
Sokoto State,2092
Taraba State,887
Unknown,≤100
Yobe State,963
Zamfara State,880
