Location name,Amount spent (NGN)
Abia State,382
Adamawa State,219
Akwa Ibom State,430
Anambra State,235
Bauchi State,202
Bayelsa State,≤100
Benué State,1516
Borno State,123
Cross River State,377
Delta State,923
Ebonyi State,≤100
Edo State,364
Ekiti State,≤100
Enugu State,364
Federal Capital Territory,5135
Gombe State,≤100
Imo State,225
Jigawa State,≤100
Kaduna State,740
Kano State,829
Katsina State,150
Kebbi State,≤100
Kogi State,4439
Kwara State,362
Lagos State,8273
Nasarawa State,146
Niger State,494
Ogun State,185
Ondo State,152
Osun State,188
Oyo State,665
Plateau State,423
Rivers State,1552
Sokoto State,123
Taraba State,≤100
Unknown,≤100
Yobe State,≤100
Zamfara State,≤100
