Location name,Amount spent (EGP)
Al Sharqia Governorate,2687
Alexandria Governorate,3615
Aswan Governorate,549
Asyut Governorate,1151
Beheira Governorate,1749
Beni Suef Governorate,792
Cairo Governorate,8555
Dakahlia Governorate,3025
Damietta Governorate,827
Faiyum Governorate,866
Gharbia Governorate,2589
Giza Governorate,2246
Ismailia Governorate,732
Kafr el-Sheikh Governorate,1263
Luxor Governorate,1008
Matrouh Governorate,164
Minya Governorate,1231
Monufia Governorate,2180
New Valley Governorate,221
North Sinai Governorate,306
Port Said Governorate,523
Qalyubia Governorate,1989
Qena Governorate,1198
Red Sea Governorate,383
Sohag Governorate,1322
South Sinai Governorate,130
Suez Governorate,374
Unknown,≤100
