Page ID,Page name,Disclaimer,Amount spent (SEK),Number of ads in Library
371791194529,Världsnaturfonden WWF,Världsnaturfonden WWF,22844,14
122854408319,Hjärt-Lungfonden,Hjärt-Lungfonden,20523,18
126567104406,Hyresgästföreningen,Hyresgästföreningen,18777,48
608975645850217,Vattenfall,Vattenfall Sverige,14648,35
151159271594797,Systembolaget,Systembolaget,13967,7
72659261793,Rädda Barnen,Rädda Barnen,12433,79
161213770567846,Operation Smile Sverige,Operation Smile Sverige,11112,22
109886133732943,RESCUE - Sverige,RESCUE - Sverige,8629,2
111630258867610,Röda Korset,Röda Korset,7918,20
162985227114132,Skellefteå Kraft,Skellefteå Kraft,7827,11
68115370786,Läkare Utan Gränser (MSF),Läkare Utan Gränser/ Médecins sans Frontières (MSF Sweden),7172,25
128452220525979,CIVIL RIGHTS DEFENDERS,CIVIL RIGHTS DEFENDERS,6450,16
382243262003,Plan International Sverige,Plan International Sverige,6110,4
95735961890,Greenpeace Sverige,Greenpeace Sverige,5060,80
101341883359561,Matsmart Sverige,Matsmart,4972,7
19746853632,Djurens Rätt,Djurens Rätt,4738,4
150057951690751,OKQ8,OKQ8,4583,8
130927360876045,Tidningen Näringslivet,Tidningen Näringslivet,4297,35
643137272398136,Sverige för UNHCR,Sverige för UNHCR,4086,15
186513678039755,Fortum,Fortum Sverige,3871,23
109969847586061,Morgon-Tidningen,AIP Media,3500,6
59324455950,UNICEF Sverige,UNICEF Sverige,3436,7
133867976608,Naturskyddsföreningen,Naturskyddsföreningen,2999,8
203547006337155,Göteborgs Stadsmission,Göteborgs Stadsmission,2935,9
90882504375,Svenskt Näringsliv,Svenskt Näringsliv,2771,34
106348682400630,Nova - AI Chatbot,These ads ran without a disclaimer,2665,4
178362315106,European Parliament,European Parliament,2602,8
110723197258182,Sverige inför verkligheten,Sverige inför verkligheten,2499,5
18880778360,ActionAid Sweden,ActionAid Sweden,2409,4
379686162129542,Svea Bank,Svea Ekonomi,2386,6
193309030695120,UR,UR,2385,20
440345132668081,UL,UL,2205,1
223302541061447,Nema Problema,Nema Problema,2174,52
188616781161573,World Animal Protection Sverige,World Animal Protection Sverige,2113,36
8040892957,Socialdemokraterna,Socialdemokraterna,1935,18
98623096089,Lantmännen,Lantmännen,1914,2
769689373178831,Sjukvårdspartiet Västernorrland,Sjukvårdspartiet Västernorrland,1753,2
314872662206,Ekonomifakta,Ekonomifakta,1727,84
267640803634611,Moderaterna i Västerbotten,Moderaterna i Västerbotten,1685,3
276108117859,Svenska Afghanistankommittén,Svenska Afghanistankommittén,1665,41
236221570038,BRIS: Barnens Rätt I Samhället,BRIS: Barnens Rätt I Samhället,1623,8
130040890394815,Skånetrafiken,Skånetrafiken (Region Skåne),1591,4
279974638809211,Oxfam Sverige,Oxfam Sverige,1574,8
115403725210334,Hand in Hand Sweden,Hand in Hand Sweden,1570,1
369582590803,Dagens ETC,ETC-tidningarna,1547,12
130666626950917,Öresundskraft,Öresundskraft,1421,1
236879092476,Håll Sverige Rent,Håll Sverige Rent,1413,14
42676805259,Diakonia,Diakonia,1394,16
183512318424647,Magdalena Andersson,Socialdemokraterna,1342,6
115212521895994,Vattenfall Eldistribution AB,Vattenfall Eldistribution AB,1312,4
179931025357058,Kommunal,Kommunal,1292,12
313671265509,Tankesmedjan Tiden,Tankesmedjan Tiden,1259,4
323156205347,Vänsterpartiet,Vänsterpartiet,1205,11
676246449160270,Sverigedemokraterna,Sverigedemokraterna,1201,3
195379633820701,Svenskt Kött,Svenskt Kött,1071,17
153028052500,Kvinna till Kvinna,Stiftelsen Kvinna till Kvinna,993,6
266170183550491,Nya Kompisbyrån,Nya Kompisbyrån,990,19
112338252157105,Viskadalen,Viskadalen,815,2
212604496324,Fackförbundet ST,Fackförbundet ST,794,36
175656912484553,Unionen,Unionen,792,17
133148933394485,Socialdemokraterna i Malmö,Socialdemokraterna i Malmö,783,5
237146235237,Timbro,Tankesmedjan Timbro,775,45
125777020786691,Mikael Damberg,Socialdemokraterna,764,3
309283471958,Hyresgästföreningen Region Sydost,Hyresgästföreningen Region Sydost,753,28
181590825305317,COWI Sverige,COWI Sverige,745,10
24574889995,Charlie Weimers MEP,Charlie Weimers MEP,722,1
112635368770882,Socialdemokraterna i Kronoberg,Socialdemokraterna i Kronoberg,714,2
166406746310,Resumé,Resumé,676,2
261455205686,LRF,LRF,673,3
212049035488183,The Hunger Project Sverige,The Hunger Project Sverige,648,1
518144408210153,Våra barns klimat,Våra barns klimat,643,3
153150404966,Moderaterna Skellefteå,Moderaterna Skellefteå,633,4
412192732132640,ECPAT Sverige,ECPAT Sverige,606,20
103296115466644,Skattenytta,Kommissionen för Skattenytta,604,8
328754490337,Vårdförbundet,Vårdförbundet,598,27
212284955495610,Elektrikerna,Elektrikerna,558,3
387421644643053,Hyresgästföreningen BohusÄlvsborg-Skaraborg,Hyresgästföreningen BohusÄlvsborg-Skaraborg,554,18
300290481979,Södertälje kommun,Södertälje kommun,544,1
576845979156129,Techarenan,Techarenan,544,3
118090278221826,Erikshjälpen,Erikshjälpen,533,3
113710601984970,Barnfonden,Barnfonden,498,7
393959767360779,Sverigedemokraterna Region Skåne,Sverigedemokraterna Region Skåne,497,7
312084019369,Dagens Medicin,Dagens Medicin,495,1
72832167834,Skattebetalarnas Förening,Skattebetalarnas Förening,490,14
108579507301489,Akavia,Akavia,486,4
245214805905370,Konkret,Opulens Förlag AB,464,9
167036616661188,Sverigedemokraterna Malmö,Sverigedemokraterna Malmö,454,2
128074247474,Björn Lundén,Björn Lundén AB,453,1
111699453757094,Soft Towel Games,These ads ran without a disclaimer,453,3
356032977210,Vi-skogen,Vi-skogen,445,11
163820136238,LO Sverige,Landsorganisationen Sverige,444,3
273053169937029,ClimateHero,ClimateHero,443,7
114736451897793,Socialdemokraterna i Södertälje,Socialdemokraterna i Södertälje,430,3
163305633746125,Karneval förlag,Holviks,427,3
498767116802809,Vänsterpartiet Region Stockholm,Vänsterpartiet Region Stockholm,426,3
539297539496434,Dagens Samhälle,Dagens Samhälle,417,1
314283591054,Byggnads,Byggnads,396,2
100941935326134,RekonstruktionsGruppen,Rekonstruktionsgruppen Sverige AB,396,6
234172635050,Forum för levande historia,Forum för levande historia,394,3
965458110149319,Byggindustrin,Byggindustrin,386,1
296423575695,Afrikagrupperna,Afrikagrupperna,380,5
111842515680597,Hyresgästföreningen Norrland,Hyresgästföreningen,371,12
208751565805849,Stiftelsen Expo,Stiftelsen Expo,370,1
709317875766999,Judisk Kultur i Sverige,Judisk Kultur i Sverige,349,4
153270724787,Amnesty International Sverige,Amnesty International Sverige,348,7
229651940519344,Stadsutveckling Stockholm,Stockholms stad,342,2
127063960674693,Svenska Freds- och Skiljedomsföreningen,Svenska Freds- och Skiljedomsföreningen,335,5
899603916845362,JAG Personlig assistans,JAG Personlig assistans,326,3
175873745789190,Vänsterpartiet Göteborg,Vänsterpartiet Göteborg,323,10
381175618637391,Liberalerna Kronoberg,Liberalerna,320,2
115756055102646,Kura Omsorg  i Sverige AB,Kura Omsorg  i Sverige AB,317,1
147672065396607,Sverigedemokraterna Linköping,Sverigedemokraterna Linköping,317,1
129016447116122,Aktuell Hållbarhet,Aktuell Hållbarhet,310,1
231705333633358,Göteborgs stift Svenska kyrkan,Göteborgs stift Svenska kyrkan,308,3
320930784643530,Storasyster,Storasyster,306,1
120633071295935,Fairtrade Sverige,Fairtrade Sverige,304,4
514540192030141,Finnboda & Finnberget i Nacka,Finnboda & Finnberget i Nacka,302,1
2002046333202650,Bli nämndeman,Bli nämndeman,300,10
473182566110689,Inre Kraft - Personlig Assistans & Hemtjänst,Inre Kraft - Personlig Assistans & Hemtjänst,295,3
154887827868890,Sörmlands Sparbank,Sörmlands Sparbank,287,2
653072158104424,Emma Wiesner,Emma Wiesner,258,1
251829904829983,David Lega,David Lega - Kristdemokraterna,258,1
989752884508948,Muharrem Demirok,Centerpartiet,257,1
249195615122371,Sara Skyttedal,Sara Skyttedal,251,1
433323816696224,Vänsterpartiet Jönköpings län,Vänsterpartiet Jönköpings län,246,4
250766161722636,Europa Direkt Halland,Europa Direkt Halland,238,1
250421669832,Tekniska verken,Tekniska verken,234,4
103487509736810,Socialdemokraterna i  Gävleborg,Socialdemokraterna i  Gävleborg,231,1
590736644344351,Svenskt Näringsliv Jönköpings län,Svenskt Näringsliv,223,7
109609604086656,Vejpkollen.se,Vejpkollen.se,218,2
120216874723147,Svenskt Sigill,Svenskt Sigill,217,19
239855722130,Nyhetsmagasinet Fokus,Fokus,214,8
712230305617939,Uniper i Sverige,Uniper i Sverige,209,4
80386149597,ABF,ABFs förbundsexpedition,207,2
271560012882635,Svenskt Näringsliv Västra Götaland,Svenskt Näringsliv Västra Götaland,204,7
190125911027266,Akademikernas a-kassa,Akademikernas a-kassa,200,1
153525671328961,Karlstads kommun,Karlstads kommun,198,1
780698325379963,Liberalerna Varberg,Liberalerna Varberg,194,1
255288010153,Sida - Styrelsen för Internationellt Utvecklingssamarbete,Sida - Styrelsen för Internationellt Utvecklingssamarbete,190,2
183959274989548,Landsbygdsnätverket,Landsbygdsnätverket,188,3
887305194662637,Axess Magasin & TV,Axess Publishing,186,1
127757523931098,Emrahus AB,Emrahus AB,177,2
102414309949126,Socialdemokraterna i Skåne,Socialdemokraterna i Skåne,176,1
1379292059067347,Länsstyrelsen Östergötland,Länsstyrelsen Östergötland,176,1
276280366116172,Vänsterpartiet Kävlinge,Vänsterpartiet Kävlinge,171,2
324502111021396,Täbymoderaterna,Moderata Samlingspartiet i Täby,170,1
1495636290691848,Vänsterpartiet Stockholms stad,Vänsterpartiet Stockholm stad,170,2
209114882470017,Maskinia,These ads ran without a disclaimer,167,1
1042091032500520,Kvartal,Kvartal,163,4
194996370654471,Assistanslotsen,Assistanslotsen,161,2
505186329496364,Aktiv Assistans AB,Aktiv Assistans AB,161,2
1267325956645384,Bonzi,Bonzi,160,2
766962160096580,Vi Omsorg i Sverige AB,Vi Omsorg i Sverige AB,160,2
1715208875382561,OP Assistans,OP Assistans,158,2
465428396919164,Socialdemokraterna i Sollentuna,Socialdemokraterna i Sollentuna,156,1
105051279529106,Kulturhuset Stadsteatern,Kulturhuset Stadsteatern,155,3
665682436792792,Moderaterna i Varberg,Moderaterna,155,1
277520678945640,Svenskt Näringsliv Halland,Svenskt Näringsliv,153,8
329452290816078,Tidningen Market,Tidningen Market,150,1
390479295816,Socialdemokraterna i Jönköpings län,Socialdemokraterna i Jönköpings län,148,1
100154266829621,Kyrkans Tidning,Kyrkans Tidning,147,2
1400334680268097,Nyheter i Västerbotten,Nyheter i Västerbotten,146,2
1292941027470473,Tillsammans för regionens utveckling,Region Västerbotten,145,1
131482086868788,Kristdemokraterna i Linköping,Kristdemokraterna i Linköping,137,2
100253435575183,EPHI - Environment and Public Health Institute,Environment and Public Health Institute,136,1
1481800888803487,Liberalerna Hässleholm,Liberalerna i Hässleholm,136,1
342952129133948,Kultur i Malmö,Kultur i Malmö,136,1
132143480932,Nackamoderaterna,Nackamoderaterna,135,2
175843834306,WaterAid Sverige,WaterAid Sverige,135,1
114782395316367,Socialdemokraterna i Västernorrland,Socialdemokraterna i Västernorrland,134,1
150909028299502,Jernkontoret,Jernkontoret,132,7
1447309755322652,Bostad 2030,Bostad 2030,125,2
289125034540204,Socialdemokraterna Sörmland,Sörmlands socialdemokratiska partidistrikt,124,3
268608766607208,Svensk Tidskrift,Svensk Tidskrift,123,4
112644953916525,Facklig Vänster,Vänsterpartiet,120,6
337086006951883,Jessica Polfjärd,Moderaterna,119,1
126245644082634,Malmömoderaterna,Malmömoderaterna,119,2
137789886310956,Socialdemokraterna Huddinge,Socialdemokraterna Huddinge,119,1
226810677402741,Centerpartiet i Jönköpings län,Centerpartiet Jönköpings län,113,1
198991600145434,Svenskt Näringsliv Skåne,Svenskt Näringsliv Skåne,111,2
217391588404948,Katalys,Katalys,111,1
1089666701084947,Timbro förlag,Timbro Förlag,110,1
882970465088842,Svenskt Näringsliv Kalmar län,Svenskt Näringsliv,110,1
180578795331360,Svenskt Näringsliv Blekinge,Svenskt Näringsliv,109,1
273402369438867,By Billgren,By Billgren AB,109,2
135062563176874,Utrikespolitiska Institutet,Utrikespolitiska Institutet,109,2
1540294046226139,Feministsmeden,Feministsmeden,109,1
