Location name,Amount spent (NGN)
Abia State,600
Adamawa State,503
Akwa Ibom State,438
Anambra State,327
Bauchi State,566
Bayelsa State,762
Benué State,1622
Borno State,666
Cross River State,257
Delta State,1346
Ebonyi State,≤100
Edo State,625
Ekiti State,232
Enugu State,365
Federal Capital Territory,9727
Gombe State,367
Imo State,322
Jigawa State,249
Kaduna State,2023
Kano State,3347
Katsina State,535
Kebbi State,194
Kogi State,1086
Kwara State,1806
Lagos State,13068
Nasarawa State,502
Niger State,920
Ogun State,500
Ondo State,418
Osun State,431
Oyo State,2934
Plateau State,1597
Rivers State,2423
Sokoto State,351
Taraba State,211
Unknown,≤100
Yobe State,922
Zamfara State,268
