Location name,Amount spent (THB)
Amnat Charoen,≤100
Ang Thong,≤100
Ayutthaya,559
Bangkok,7060
Bueng Kan,≤100
Buriram,339
Chachoengsao,185
Chai Nat,≤100
Chaiyaphum,248
Chanthaburi,147
Chiang Mai,703
Chiang Rai,362
Chon Buri,541
Chumphon,349
Kalasin,217
Kamphaeng Phet,167
Kanchanaburi,355
Khon Kaen,701
Krabi,364
Lampang,240
Lamphun,129
Loei,162
Lop Buri,173
Mae Hong Son,≤100
Maha Sarakham,253
Mukdahan,≤100
Nakhon Nayok,≤100
Nakhon Pathom,239
Nakhon Phanom,160
Nakhon Ratchasima,600
Nakhon Sawan,268
Nakhon Si Thammarat,2656
Nan,119
Narathiwat,244
Nong Bua Lam Phu,123
Nong Khai,143
Nonthaburi,559
Pathum Thani,375
Pattani,241
Phangnga,201
Phatthalung,330
Phayao,136
Phetchabun,311
Phetchaburi,175
Phichit,292
Phitsanulok,2143
Phrae,129
Phuket,1202
Prachin Buri,155
Prachuap Khiri Khan,342
Ranong,110
Ratchaburi,295
Rayong,239
Roi Et,396
Sa Kaeo,123
Sakon Nakhon,268
Samut Prakan,409
Samut Sakhon,303
Samut Songkhram,≤100
Saraburi,183
Satun,123
Sing Buri,≤100
Sisaket,296
Songkhla,884
Sukhothai,170
Suphan Buri,231
Surat Thani,8512
Surin,307
Tak,155
Trang,402
Trat,≤100
Ubon Ratchathani,500
Udon Thani,387
Unknown,≤100
Uthai Thani,≤100
Uttaradit,131
Yala Province,215
Yasothon,149
