Page ID,Page name,Disclaimer,Amount spent (NGN),Number of ads in Library
971769479677563,Gbenga Olawepo-Hashim,Olushola Oni,12028,2
200480966638039,Supremacy 1914,These ads ran without a disclaimer,8341,2
913242715449176,Prophet Ekong Ituen Ministries,Ekong Ituen,5333,4
111353874017544,Mukhail Adetokunbo Abiru,Mukhail Adetokunbo Abiru,4608,3
103018869332378,BantuPage,Ikechukwu Orji,4181,4
153063591397681,Amazon Web Services,These ads ran without a disclaimer,4147,1
294587734226015,Hon. Amb. Sobomabo Jackrich - Egberipapa,Hon. Amb. Sobomabo Jackrich - Egberipapa,3914,1
100202924924063,Page 36,Page 36,3083,6
1089641091059109,Hon. Kelechi Nwogu,Fabia Benibo,2929,1
100119618576089,Asuku Media Centre,Asuku Media Center,2829,2
106343127908321,Dr Dauda Lawal Dare Tv,Ayodeji Adeola Badru,2266,6
101229044647022,Senator Mohammed Sani Musa,Suleiman Sani Musa,2145,4
109086344721836,Jeremiah Nedu Music,These ads ran without a disclaimer,1843,1
168108886585073,Sustainable Energy for All,These ads ran without a disclaimer,1719,2
236831106803225,Accountability Lab Nigeria,Accountability Lab Nigeria,1287,1
701090923257144,Within Nigeria,WITHIN NIGERIA MEDIA LTD,1149,1
1564358537188482,Dr Betta Edu,Prince Charles Ekanem Iv,1042,1
108655974657364,Minister Chris-Alfred,These ads ran without a disclaimer,993,5
258237094650339,Voice Of More,Adeosun Abdulwahab Adebowale,922,5
106040729123661,GREAT IFA OLOWO,These ads ran without a disclaimer,903,1
104238252286926,Nwankwo Promise Chibuzo,Mboo Augustine Uchenna,764,2
504523013265155,Validnews.ng,Prince Charles Ekanem Iv,757,1
878141452335886,The Hope For Nigeria,Kerry Kenu,748,2
101473435929832,Fr. Alia New Media Centre,Fr. Alia New Media Centre,725,2
106900875202419,Newsflow.com.ng,newsflow,718,1
111180371693748,Rt.Hon Peter Odey - Cross River State Deputy Governor -Elect,Prince Charles Ekanem Iv,686,1
477522008967542,Benneth Nwankwo 0fficial Page,Benneth Nwankwo 0fficial Page,471,1
604995746340748,Bishop Tom Samson,These ads ran without a disclaimer,461,1
668701066598159,مجلس حكماء المسلمين,These ads ran without a disclaimer,251,1
102169824695398,Rero TV,Rero TV,241,1
109366762070994,Emodah,Emodah,237,1
119723736100630,Ala - Delight Publicity Services,Moses Oyinkuro,184,1
103497538913739,Lindas homes,These ads ran without a disclaimer,123,1
1569688113329878,Evony - The King's Return,These ads ran without a disclaimer,≤100,1
100627069630168,Cecília Martins,These ads ran without a disclaimer,≤100,12
2014103505554916,OBA Adewunmi Evangelical Outreach,These ads ran without a disclaimer,≤100,1
103456135835061,Victor E. Archibong,Victor Emmanuel Archibong,≤100,1
107358462251353,Fortunes Okoronkwo,These ads ran without a disclaimer,≤100,1
115153598142596,KODA SIKA 042 TV,These ads ran without a disclaimer,≤100,1
669307523469574,EveryJew,These ads ran without a disclaimer,≤100,6
111595864923192,Aasi Tahir Siddique,These ads ran without a disclaimer,≤100,1
1575158776116245,Naija Inequality News,These ads ran without a disclaimer,≤100,1
75608370019,United States Institute of Peace,These ads ran without a disclaimer,≤100,1
461895657190529,NHK WORLD-JAPAN,These ads ran without a disclaimer,≤100,1
120498394320803,C301-40,These ads ran without a disclaimer,≤100,1
1809714036021581,ProVeg International,These ads ran without a disclaimer,≤100,1
100979089555293,Jose Bedoya,These ads ran without a disclaimer,≤100,2
287842647957979,EU International Partnerships,These ads ran without a disclaimer,≤100,2
1767096530199949,Zhejiang University,These ads ran without a disclaimer,≤100,1
111160730747637,Trivia Stars,These ads ran without a disclaimer,≤100,2
108409741002988,Prince Hadi Sani; SA to Ogun State Governor on Inter-Ethnic Affairs.,Adu Ifeoluwa,≤100,1
