Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
323245001172018,Bundesministerium für Gesundheit,Bundesministerium für Gesundheit,8920,100
341486659645594,FDP Fraktion Bundestag,Fraktion der Freien Demokraten im Deutschen Bundestag,5431,24
1173504606112676,Bundesministerium für Bildung und Forschung,Bundesministerium für Bildung und Forschung,3410,2
511785248971976,"Bundesministerium für Familie, Senioren, Frauen und Jugend","Bundesministerium für Familie, Senioren, Frauen und Jugend",3392,14
22541752487,Greenpeace Deutschland,Greenpeace Deutschland,3146,28
23216224900,Plan International Deutschland,Plan International Deutschland e.V.,2749,7
170688644503,UNICEF Deutschland,UNICEF Deutschland,2504,27
718677004826671,Deutsche Umwelthilfe,Deutsche Umwelthilfe,2171,36
111789447030484,Bundesfinanzministerium,Bundesfinanzministerium,2011,16
111501317017740,Motatos Deutschland,Motatos,1906,6
218786540044,WWF Deutschland,WWF Deutschland,1766,28
27352749603,Amnesty International Deutschland,Amnesty International Deutschland,1734,99
223130221114945,Arla,Arla Foods Deutschland GmbH,1608,4
100729549205774,THW-Landesverband NRW,Bundesanstalt Technisches Hilfswerk Landesverband NRW,1489,3
1578640155687393,Sea-Watch,Sea-Watch,1480,9
768905426534529,Bundesregierung,Bundesregierung,1461,3
56497026719,SOS-Kinderdörfer weltweit,SOS-Kinderdörfer weltweit Hermann-Gmeiner-Fonds Deutschland e.V.,1439,83
236934790401,UNO-Flüchtlingshilfe,UNO-Flüchtlingshilfe,1432,48
261985647756704,AfD im EU-Parlament,AfD im EU-Parlament,1208,3
136260152219,World Vision Deutschland e.V.,World Vision Deutschland e.V.,1170,11
102169625710148,ClimaClic,Burda Direct GmbH,1120,40
161273245888,Save the Children Deutschland,Save the Children Deutschland,1079,56
108268845888673,Bundesministerium für Arbeit und Soziales,Bundesministerium für Arbeit und Soziales,1072,6
178362315106,European Parliament,European Parliament,1068,11
484950398505596,IRC Deutschland,IRC Deutschland,1064,3
846335975484709,The Generation Forest,The Generation Forest eG,1015,45
478399422560922,KadeFungin,DR. KADE,994,16
1808301986138803,Bayerisches Sozialministerium,"Bayerisches Staatsministerium für Familie, Arbeit und Soziales",956,12
112369170621210,Deutschland spricht über 5G,"Dialoginitiative ""Deutschland spricht über 5G""",925,3
1508446642792459,Vattenfall,Vattenfall Deutschland,919,17
100495046138382,Klimawandel-meistern,Bayerisches Staatsministerium für Umwelt und Verbraucherschutz,891,4
13479664941,JUNGE FREIHEIT,Junge Freiheit Verlag GmbH & Co. KG,890,2
263503200272,Welthungerhilfe,Welthungerhilfe,862,29
331832984040,LichtBlick,LichtBlick,833,45
478198785559583,HUK-COBURG,HUK-COBURG VVaG,818,4
103453699750,ROBIN WOOD e.V.,ROBIN WOOD e.V.,726,4
343364921106,Caritas international,Caritas international,724,267
1790920000965539,CDU CSU Europa,CDU/CSU-Gruppe in der EVP-Fraktion im Europäischen Parlament,663,20
273454591804,SOS-Kinderdorf Deutschland,SOS-Kinderdorf e.V.,565,5
101274842793956,Greenpeace grad jetzt,Greenpeace e.V.,538,6
82734241364,Campact e.V.,Campact e.V.,534,19
103919417972272,Unabhängige Beauftragte für Fragen des sexuellen Kindesmissbrauchs,Unabhängiger Beauftragter für Fragen des sexuellen Kindesmissbrauchs,492,24
114554831934355,Tierschutzbund,Deutscher Tierschutzbund e.V.,487,13
107514721572444,Stop Fake Renewables,Stop Fake Renewables,445,14
134278719946186,Bayer,Bayer AG,442,8
1852185055034835,Bayernwerk,Bayernwerk AG,437,9
118776688142153,enviaM,envia Mitteldeutsche Energie AG,421,34
116544291761495,Kindernothilfe E.V.,Kindernothilfe E.V.,374,97
921326477983554,Verband der Chemischen Industrie e.V.,Chemie Wirtschaftsförderungs-GmbH,357,9
101285651990166,Planted,I Planted GmbH,354,39
259770724096761,Animal Equality Germany,Animal Equality Germany e.V.,348,25
1919185338293853,AfD-Fraktion NRW,AfD-Fraktion NRW,341,4
955766184451957,Das Handwerk,Deutscher Handwerkskammertag (DHKT) e. V.,317,2
188842724507690,مفوضية اللاجئين,These ads ran without a disclaimer,272,3
195137827175331,CDU-Fraktion des Sächsischen Landtages,CDU-Fraktion des Sächsischen Landtages,260,27
1509790395958123,Aktion gegen den Hunger,Aktion gegen den Hunger,258,5
127925800618165,Socialists and Democrats Group in the European Parliament,Socialists and Democrats Group in the European Parliament,255,1
133306764192,NABU Bundesverband,NABU Bundesverband,255,39
123292927706635,junge Welt,junge Welt,253,3
237087969829041,"Karton, natürlich",Fachverband Kartonverpackungen für flüssige Nahrungsmittel e.V. (FKN),244,2
139968284118,terre des hommes,terre des hommes,240,81
116335026590900,Mülltrennung wirkt,die dualen Systeme,239,4
102608544969110,AproPo by Posterisan & FAKTUlind,DR. KADE,236,6
106743252188249,Klimastiftung für Bürger,Klimastiftung für Bürger,231,5
104052104595148,"Senatorin für Gesundheit, Frauen, Verbraucherschutz Bremen","Senatorin für Gesundheit, Frauen und Verbraucherschutz",230,12
1096099377140176,karlsruhe.digital,Initiative karlsruhe.digital,225,6
105535875574648,Christoph Gerwers,CDU Kreisverband Kleve,223,9
144380008933707,SPD-Fraktion im Bundestag,SPD-Bundestagsfraktion,222,2
101011128446841,Bündnis Deutschland,Bündnis Deutschland,218,6
104683266866,Friedrich-Ebert-Stiftung,Friedrich-Ebert-Stiftung,209,2
120479081330563,Körber-Stiftung,Körber-Stiftung,209,19
359720447745148,Sustainable Natives,sustainable natives eG with Facebook ad credits,208,81
109573920927141,Ichwillfair,Initiative für nachhaltige Agrarlieferketten,199,12
187685374535,Reporter ohne Grenzen Deutschland,"'Paid for by [Reporter ohne Grenzen, deutsche Sektion e.V.] with Facebook ad credits’",198,9
382186268590822,ADF International,ADF International Deutschland e.V.,198,7
44511549119,Konrad-Adenauer-Stiftung,Konrad-Adenauer-Stiftung e.V.,195,6
107085727344683,Mein Schlüssel zur Welt,Bundesministerium für Bildung und Forschung,189,3
102357625734796,Brandenburg hilft,Neues Potsdamer Toleranzedikt e.V.,182,8
156449679027,Renovabis,Renovabis e.V.,175,32
1062482463795133,Liebesleben,Bundeszentrale für gesundheitliche Aufklärung (BZgA),174,6
81386795687,CSU (Christlich-Soziale Union),CSU (Christlich-Soziale Union),174,10
114186703597807,VIER PFOTEN,VIER PFOTEN,166,43
481033845692472,Entschieden. Gegen Krebs.,ENTSCHIEDEN. Gegen Krebs.,163,6
425785410801477,Dove,Unilever Deutschland GmbH,163,2
135239426523955,KfW Bankengruppe,KfW,160,2
531504136955879,BVB / Freie Wähler - Fraktion im Landtag Brandenburg,BVB / FREIE WÄHLER Fraktion,159,13
156733414463449,SAUBER ENERGIE,SE SAUBER ENERGIE GmbH & Co. KG,149,3
200752383293733,International Justice Mission,International Justice Mission,149,4
130018647016828,Mall - Umweltsysteme,Mall GmbH,145,6
1603501656570339,Gunnar Kessler,Gunnar Ronald Keßler,144,2
922013954486012,StrassenBLUES,StrassenBLUES,142,3
100345702834585,All Out Deutschland,All Out,141,10
101124947919410,GermanZero,GermanZero e.V.,136,11
1176675472454246,CAPinside.com,CAPinside GmbH,134,44
108453667688121,AfD-Fraktion Krefeld,AfD-Fraktion im Rat der Stadt Krefeld,131,4
2665513323462858,Hendrik Hamel,Hendrik Hamel e.K.,130,20
107484069279333,tegut...,tegut... gute Lebensmittel GmbH & Co. KG,128,3
283396392094517,GRÜNE Ratsfraktion Bonn,Grüne Ratsfraktion Bonn,121,4
109268274798247,E-Fuels-Forum,CLASSIC Tankstellen GmbH & Co. KG,120,3
2188342231399828,HSI/Deutschland,HSI Europe,117,7
190784743602,CDU/CSU-Bundestagsfraktion,CDU/CSU-Bundestagsfraktion,116,1
