Page ID,Page name,Disclaimer,Amount spent (RON),Number of ads in Library
1058116737612843,USR,Uniunea Salvați România,23007,7
990747367737692,Cătălin Drulă,Uniunea Salvați România,5620,13
291177524360702,Partidul Social Democrat,Partidul Social Democrat,2167,12
181375448581167,Partidul Naţional Liberal,Partidul Național Liberal,1709,5
163943696987223,Ziarul Puterea,Ziarul Puterea,1337,33
686190454826244,Declic,Declic,1303,68
321890494859228,Vlad Gheorghe,GHEORGHE VLAD-DAN,1243,81
108801900624850,Cojocaru Petru Bogdan,Partidul Social Democrat,1226,12
482377718563494,TAW Energy,These ads ran without a disclaimer,1062,1
178362315106,European Parliament,European Parliament,939,3
102601499822802,RMDSZ,RMDSZ,751,10
1122653111147741,Genesis Athens,Genesis Athens,580,2
114319753592403,AFACERI.news,Horia-Marius Bogdan,502,10
123526378261795,Stiri Locale,Stiri Locale,487,5
207741001672,Speranta pentru Romania,Speranta pentru Romania,458,8
110714784883015,Bogdan Dumea,Partidul Social Democrat,362,5
494469087244449,Eugen Tomac,Eugen Tomac,361,3
360828814115641,Asociatia Slujire Crestina,Asociatia Slujire Crestina,314,5
176989973158138,Guvernare.net,Guvernare.net,305,2
698760586929790,USR Constanța,USR Constanța,300,4
2546711162025064,Politice.net,politice.net,288,2
205001282852200,Milvus Group,Asociatia GRUPUL MILVUS,271,50
110665943772240,Virgil Pirvulescu,Virgil Pirvulescu,261,1
731035500293728,Siegfried Muresan,Siegfried Muresan,254,2
149371012371397,Newsweek Romania,Newsweek Romania,223,3
111190480252428,Radu Molnar,Radu Iulian Molnar,207,10
1577877239102295,Nicolae Ionel Ciucă,Partidul National Liberal,201,3
1559885467641191,Râul Alb,Râul Alb,199,2
1780528075550888,USR Vrancea,Uniunea Salvați România - USR,189,1
1157480384268430,Partidul Umanist Social Liberal PUSL Sediul Central,Partidul Umanist Social Liberal,185,3
105720737973322,Cristi Berea,Cristinel Gabriel Berea,184,1
341037705981172,Humanitas,Humanitas,175,7
101340741758468,Radu Pescar,Pescar Radu Mircea,174,6
697451833786949,Mihai Polițeanu,POLITEANU MIHAI-LAURENTIU,164,4
175038365852533,Andrei V. Tatar,Andrei Tătar,160,3
175293925828191,Kelemen Hunor,RMDSZ,158,4
2212856535602171,George Simion,George Simion,158,1
1027173667393990,Lucian Daniel Stanciu Viziteu,Lucian Daniel Stanciu Viziteu,158,3
113910327963153,Andrei Ohaci,Andrei Ohaci,156,2
509479962851716,Alexandru Kocsis,Romanii trebuie sa stie,154,14
104519198394311,Rares Hopinca,Rareş Hopincă,149,1
1796777377209154,Regia Nationala a Padurilor - Romsilva,Regia Nationala a Padurilor - Romsilva,148,6
581911828514783,Partidul Mișcarea Populară,Partidul Mișcarea Populară,146,2
200813406761691,Corina Cretu,Marina Alin-Constantin,145,1
108295090637741,ASAP România,Fundatia The Institute,145,3
108818130851166,Andrei Lupu,Andrei-Răzvan Lupu,144,3
351920454997749,RMDSZ Hunyad Megyei Szervezete,RMDSZ Hunyad Megyei Szervezete,141,3
1738339926491503,Silviu Dehelean,Silviu Dehelean,140,1
1491544234239734,Forța Dreptei,Forta-Dreptei,133,11
174434106304018,USR Galați,USR Galați,130,7
181375448581167,Partidul Naţional Liberal,Partidul National Liberal,129,2
102106432515274,Partidul Patriotilor,Partidul Patriotilor,128,2
351377468251533,Agenţia Naţională a Funcţionarilor Publici,Agenţia Naţională a Funcţionarilor Publici,127,5
1156150484398630,MozaiQ,MozaiQ,119,2
112776430629875,Constanta Tv,Emil Mihail Tatu,117,2
107414614506121,Narcis Mircescu,USR,113,2
109556372802910,USR Dolj,USR Dolj,111,1
523106417867452,Mircea Fechet,Mircea Fechet,106,1
1572019133014738,Gabriel Toncean,Gabriel Toncean,103,1
