Location name,Amount spent (NGN)
Abia State,31027
Adamawa State,11937
Akwa Ibom State,77881
Anambra State,20649
Bauchi State,20722
Bayelsa State,5871
Benué State,10668
Borno State,11660
Cross River State,15145
Delta State,39388
Ebonyi State,3766
Edo State,18805
Ekiti State,4651
Enugu State,27911
Federal Capital Territory,53076
Gombe State,8802
Imo State,22419
Jigawa State,2829
Kaduna State,33893
Kano State,101479
Katsina State,9821
Kebbi State,3871
Kogi State,8064
Kwara State,11538
Lagos State,191500
Nasarawa State,7384
Niger State,16228
Ogun State,19007
Ondo State,7795
Osun State,9930
Oyo State,39352
Plateau State,19594
Rivers State,93913
Sokoto State,9976
Taraba State,6285
Unknown,≤100
Yobe State,4638
Zamfara State,4027
