Page ID,Page name,Disclaimer,Amount spent (NGN),Number of ads in Library
68793499001,UNICEF,UNICEF with Facebook Ad Credits,416644,11
105256562063637,Beta Naija Group,Beta Naija,50647,2
14312764639,Atiku Abubakar,The Atiku Campaign,30365,2
124252504303223,UNICEF (FR),UNICEF avec des crédits publicitaires Facebook,30085,6
1089641091059109,Hon. Kelechi Nwogu,Fabia Benibo,10874,3
100509629482213,The South-South Umbrella Forum,The South-South Umbrella Forum,10452,1
660685641036325,Sandeco Group,Vincent Southey Effiong,8252,9
1600094170320323,Enormous FACTS,Enormous FACTS Magazine by MediaMall,8032,6
971769479677563,Gbenga Olawepo-Hashim,Olushola Oni,7238,1
2138867006432207,Gobir 2023,Young Progressives Party (YPP),6756,1
105208365731340,F-SAO4Tinubu/Shettima2023,Emmanuel Oko,6661,2
753031955030992,Atiku-Okowa.com,One Nigeria Movement,5463,2
109466785028287,Prince Dr Emeka Eze,Michael Obiekwe,5338,3
103333362526988,The Eastern Umbrella Forum,The Eastern Umbrella Forum,4704,2
107655665420852,South West Umbrella Forum,South West Umbrella Forum,4670,2
113312051377035,Professor Christopher Imumolen,Irene Christopher Imumolen,4344,1
100486959387581,Ada Ogbu Nara,Chisom Okechukwu Kenneth,3018,2
106955635517175,Petroleum Industry Act and You,The Nigerian Upstream Petroleum Regulator Commission,2985,7
166178460072395,اليونيسف بالعربية - UNICEF in Arabic,اليونيسف باستخدام اعتمادات الإعلان على الفيسبوك,2651,4
101300476067946,The Northern Umbrella Forum,Northern Umbrella Forum,2377,1
104663752433213,GSM 2.0,Seyi Makinde Campaign Organisation,2062,1
266906487061241,Y Monitor,The Future Project,2037,2
1689132724682504,MMAWT legacy initiative,Amiru Adamu,1984,3
101871719365706,ADP Credible Alternative,ADP Credible Alternative,1963,2
103004258030272,Imoh Inyangette,Imoh Inyangette,1902,4
110151371700778,Bishop Dr. Sunday Ndukwo Onuoha,Bishop Dr. Sunday Ndukwo Onuoha,1687,2
913242715449176,Prophet Ekong Ituen Ministries,Ekong Ituen,1682,3
100202924924063,Page 36,Page 36,1662,5
101620952700531,Babandi Ibrahim,Babandi Gumel Ibrahim,1326,1
109752333774968,Bishop Dr Emeka Nwankpa support Group,Chinaza Somtochukwu Ibeofokile,1288,5
654180731859809,T-Police,T-Police,1210,1
1813961455356524,Ewhrudjakpo Lawrence,Akinyemi Opeyemi Oluwaseun,1112,2
101622722635138,Advocacy For Good Governance,Nnadi Sunny,1020,3
248584495820796,Ibe Okwara for House of Representatives - Arochukwu/Ohafia Constituency,Ibe Okwara Support Group,989,2
100648286200482,Barr. Okey Ezea Media Office,Michael Nnamdi Okenwa,890,6
104523875680736,NanaOfuji - YPP,NanaOfuji Campaign Organization,890,1
215863191948778,Frank Nweke Jr,Frank Nweke Ii,825,1
1572089193014869,DUMO Lulu-Briggs Recommended,DUMO Lulu-Briggs Recommended,769,1
355399445235927,WE Accord,Benoni Briggs,697,1
595906454226757,Dr Amaechi Nwachukwu Media,Dr Amaechi Nwachukwu Media,638,1
102169824695398,Rero TV,Oghenebrorhie Okotie,638,4
154441408306502,NHRC Nigeria,National Human Rights Commission,636,3
241652942562933,Yomi Idowu,Adfol Global Enterprise,605,1
579731102381281,Hon Ogechukwu Ibemesi,Hon Ogechukwu Ibemesi,595,1
105827948663647,Within Nigeria,WITHIN NIGERIA MEDIA LTD,490,1
1546092662290244,Mickos Media,Mickos Media,486,1
1598185900266723,Emeka Igwe Campaign Organization,Emeka Igwe,458,1
100709739505179,Ahmed Umar Farouk Esq,Ahmed Umar Farouk,449,1
167878593236712,UNICEF en español,UNICEF con créditos publicitarios de Facebook,445,4
101079131431442,Tinubu Shettima Ambassadors - TSA Anambra State Chapter,Michael Nnamdi Okenwa,445,2
105501525214110,NFL Africa,These ads ran without a disclaimer,445,1
102801582460165,SIM Media Volunteers,SIM Media Volunteers,404,1
241499009731835,Ifeanyichukwu Ibezi,Ifeanyichukwu Ibezi,389,1
107676437643727,Inuwa Media Vanguard,Inuwa Media Vanguard,329,1
2214806718737011,Umaru Mohammed Bago,Suleiman Danjuma Isah,293,1
565225540184937,CGTN,These ads ran without a disclaimer,285,1
101020222725519,Dist. Senator Osita Izunaso,Comr Azubuike Ishi Nworji,282,1
204740833658478,Exness careers,These ads ran without a disclaimer,280,1
108067478661339,The Ephraim Inyang Project,Akwaowo Adiakpan,206,1
100831775647560,alawiyemotivation,These ads ran without a disclaimer,119,1
1102698893087946,Pevron Technology,Collins Uwomano Otuwho,≤100,1
102450809270806,Kangiwa 360,Yusuf Salisu Funtua,≤100,1
110670751707495,RAINM,These ads ran without a disclaimer,≤100,1
136821959798730,Rudralife,These ads ran without a disclaimer,≤100,1
223287104715778,Oxfam,These ads ran without a disclaimer,≤100,2
106614185452993,Ascending Africa,These ads ran without a disclaimer,≤100,1
103080564936434,Aiapparel,These ads ran without a disclaimer,≤100,1
107959464793362,chef_wellz,These ads ran without a disclaimer,≤100,1
299227550122220,Radio Cina Internazionale,These ads ran without a disclaimer,≤100,1
1085228278277905,Apostle Joanne,These ads ran without a disclaimer,≤100,1
105453128766409,"Ningxia, China",These ads ran without a disclaimer,≤100,1
1556481434584901,Paul Xavier,These ads ran without a disclaimer,≤100,1
2073601746244684,Last Trumpets,These ads ran without a disclaimer,≤100,1
109988155233200,MisterAwesome,These ads ran without a disclaimer,≤100,2
19595510126,Annual Reviews,These ads ran without a disclaimer,≤100,1
