Location name,Amount spent (NGN)
Abia State,1037
Adamawa State,945
Akwa Ibom State,490
Anambra State,840
Bauchi State,852
Bayelsa State,152
Benué State,351
Borno State,517
Cross River State,343
Delta State,847
Ebonyi State,176
Edo State,2544
Ekiti State,190
Enugu State,851
Federal Capital Territory,9644
Gombe State,1184
Imo State,570
Jigawa State,230
Kaduna State,2237
Kano State,2702
Katsina State,1060
Kebbi State,134
Kogi State,1454
Kwara State,1666
Lagos State,16301
Nasarawa State,485
Niger State,1029
Ogun State,470
Ondo State,368
Osun State,557
Oyo State,1980
Plateau State,1513
Rivers State,1739
Sokoto State,844
Taraba State,419
Unknown,≤100
Yobe State,330
Zamfara State,247
