Page ID,Page name,Disclaimer,Amount spent (SEK),Number of ads in Library
643137272398136,Sverige för UNHCR,Sverige för UNHCR,21483,17
109886133732943,RESCUE - Sverige,RESCUE - Sverige,17865,4
126567104406,Hyresgästföreningen,Hyresgästföreningen,14099,112
369582590803,Dagens ETC,ETC-tidningarna,9144,7
371791194529,Världsnaturfonden WWF,Världsnaturfonden WWF,8291,2
68115370786,Läkare Utan Gränser (MSF),Läkare Utan Gränser/ Médecins sans Frontières (MSF Sweden),7971,23
162985227114132,Skellefteå Kraft,Skellefteå Kraft,7789,7
382243262003,Plan International Sverige,Plan International Sverige,7455,10
608975645850217,Vattenfall,Vattenfall Sverige,6622,3
59324455950,UNICEF Sverige,UNICEF Sverige,6268,9
111630258867610,Röda Korset,Röda Korset,5445,11
130927360876045,Tidningen Näringslivet,Tidningen Näringslivet,5381,61
90882504375,Svenskt Näringsliv,Svenskt Näringsliv,5273,30
188616781161573,World Animal Protection Sverige,World Animal Protection Sverige,4758,33
72659261793,Rädda Barnen,Rädda Barnen,3986,49
186513678039755,Fortum,Fortum Sverige,3624,33
95735961890,Greenpeace Sverige,Greenpeace Sverige,3611,72
115212521895994,Vattenfall Eldistribution AB,Vattenfall Eldistribution AB,3382,6
122854408319,Hjärt-Lungfonden,Hjärt-Lungfonden,3203,27
314872662206,Ekonomifakta,Ekonomifakta,2654,19
266170183550491,Nya Kompisbyrån,Nya Kompisbyrån,2589,7
111699453757094,Soft Towel Games,These ads ran without a disclaimer,2508,2
42676805259,Diakonia,Diakonia,1507,8
209680479955838,Uppsala brandförsvar,Uppsala kommun,1474,2
273053169937029,ClimateHero,ClimateHero,1471,9
107411260903386,Emyze. All in for less.,These ads ran without a disclaimer,1415,3
147547541961576,Council of the European Union,Council of the European Union,1360,2
212604496324,Fackförbundet ST,Fackförbundet ST,1095,52
161213770567846,Operation Smile Sverige,Operation Smile Sverige,1092,6
153028052500,Kvinna till Kvinna,Stiftelsen Kvinna till Kvinna,1042,3
