Location name,Amount spent (NGN)
Abia State,3022
Adamawa State,720
Akwa Ibom State,3364
Anambra State,6287
Bauchi State,1229
Bayelsa State,2298
Benué State,1716
Borno State,834
Cross River State,838
Delta State,6091
Ebonyi State,2074
Edo State,3925
Ekiti State,320
Enugu State,9029
Federal Capital Territory,10925
Gombe State,7338
Imo State,921
Jigawa State,330
Kaduna State,3475
Kano State,5202
Katsina State,1119
Kebbi State,1158
Kogi State,527
Kwara State,1128
Lagos State,97163
Nasarawa State,1108
Niger State,1205
Ogun State,2194
Ondo State,507
Osun State,799
Oyo State,2720
Plateau State,2373
Rivers State,15134
Sokoto State,1165
Taraba State,420
Unknown,≤100
Yobe State,435
Zamfara State,351
