Location name,Amount spent (THB)
Amnat Charoen,≤100
Ang Thong,≤100
Ayutthaya,240
Bangkok,6849
Bueng Kan,≤100
Buriram,253
Chachoengsao,190
Chai Nat,≤100
Chaiyaphum,155
Chanthaburi,140
Chiang Mai,987
Chiang Rai,387
Chon Buri,799
Chumphon,188
Kalasin,168
Kamphaeng Phet,600
Kanchanaburi,256
Khon Kaen,585
Krabi,154
Lampang,204
Lamphun,120
Loei,115
Lop Buri,156
Mae Hong Son,≤100
Maha Sarakham,172
Mukdahan,≤100
Nakhon Nayok,≤100
Nakhon Pathom,207
Nakhon Phanom,141
Nakhon Ratchasima,572
Nakhon Sawan,191
Nakhon Si Thammarat,355
Nan,128
Narathiwat,184
Nong Bua Lam Phu,≤100
Nong Khai,115
Nonthaburi,512
Pathum Thani,395
Pattani,266
Phangnga,≤100
Phatthalung,312
Phayao,127
Phetchabun,160
Phetchaburi,135
Phichit,≤100
Phitsanulok,353
Phrae,114
Phuket,302
Prachin Buri,134
Prachuap Khiri Khan,159
Ranong,≤100
Ratchaburi,238
Rayong,328
Roi Et,188
Sa Kaeo,105
Sakon Nakhon,201
Samut Prakan,301
Samut Sakhon,225
Samut Songkhram,≤100
Saraburi,185
Satun,117
Sing Buri,≤100
Sisaket,226
Songkhla,1361
Sukhothai,133
Suphan Buri,173
Surat Thani,515
Surin,361
Tak,202
Trang,159
Trat,113
Ubon Ratchathani,372
Udon Thani,287
Unknown,≤100
Uthai Thani,≤100
Uttaradit,≤100
Yala Province,183
Yasothon,≤100
