Location name,Amount spent (NGN)
Abia State,8427
Adamawa State,3108
Akwa Ibom State,3948
Anambra State,7900
Bauchi State,2303
Bayelsa State,1152
Benué State,2707
Borno State,2689
Cross River State,1026
Delta State,4577
Ebonyi State,941
Edo State,7580
Ekiti State,1033
Enugu State,11007
Federal Capital Territory,30107
Gombe State,11852
Imo State,3709
Jigawa State,1123
Kaduna State,12237
Kano State,18976
Katsina State,3246
Kebbi State,799
Kogi State,2500
Kwara State,3840
Lagos State,108590
Nasarawa State,2473
Niger State,3101
Ogun State,2406
Ondo State,2049
Osun State,2932
Oyo State,9911
Plateau State,2669
Rivers State,22751
Sokoto State,2646
Taraba State,1365
Unknown,≤100
Yobe State,1155
Zamfara State,1254
