Location name,Amount spent (NGN)
Abia State,2551
Adamawa State,722
Akwa Ibom State,1897
Anambra State,1584
Bauchi State,839
Bayelsa State,270
Benué State,874
Borno State,551
Cross River State,2457
Delta State,5229
Ebonyi State,302
Edo State,1401
Ekiti State,315
Enugu State,1856
Federal Capital Territory,8979
Gombe State,453
Imo State,2234
Jigawa State,179
Kaduna State,3868
Kano State,4957
Katsina State,501
Kebbi State,1021
Kogi State,983
Kwara State,1346
Lagos State,13451
Nasarawa State,601
Niger State,1606
Ogun State,1218
Ondo State,679
Osun State,702
Oyo State,3070
Plateau State,1579
Rivers State,5531
Sokoto State,454
Taraba State,872
Unknown,≤100
Yobe State,316
Zamfara State,247
