Location name,Amount spent (NGN)
Abia State,59644
Adamawa State,31689
Akwa Ibom State,27168
Anambra State,49382
Bauchi State,22810
Bayelsa State,6073
Benué State,28975
Borno State,22310
Cross River State,18422
Delta State,41490
Ebonyi State,10797
Edo State,32973
Ekiti State,10375
Enugu State,58724
Federal Capital Territory,132238
Gombe State,17367
Imo State,54417
Jigawa State,6346
Kaduna State,88178
Kano State,145090
Katsina State,23002
Kebbi State,5899
Kogi State,24456
Kwara State,29270
Lagos State,378950
Nasarawa State,16316
Niger State,24868
Ogun State,21553
Ondo State,19472
Osun State,25023
Oyo State,79012
Plateau State,80519
Rivers State,75544
Sokoto State,18796
Taraba State,13380
Unknown,≤100
Yobe State,10450
Zamfara State,8611
