Location name,Amount spent (NGN)
Abia State,4942
Adamawa State,4796
Akwa Ibom State,2658
Anambra State,21442
Bauchi State,4032
Bayelsa State,1775
Benué State,2463
Borno State,4107
Cross River State,1490
Delta State,69488
Ebonyi State,1477
Edo State,3660
Ekiti State,1197
Enugu State,3681
Federal Capital Territory,15042
Gombe State,13669
Imo State,3471
Jigawa State,1905
Kaduna State,11442
Kano State,14665
Katsina State,4610
Kebbi State,1310
Kogi State,2202
Kwara State,5501
Lagos State,82418
Nasarawa State,2083
Niger State,3735
Ogun State,7584
Ondo State,2006
Osun State,3990
Oyo State,9355
Plateau State,3826
Rivers State,12548
Sokoto State,4444
Taraba State,1572
Unknown,≤100
Yobe State,1875
Zamfara State,2009
