Page ID,Page name,Disclaimer,Amount spent (NOK),Number of ads in Library
135843375926,UNICEF Norge,UNICEF Norge,16477,25
132368899297,Framtiden i våre hender,Framtiden i Våre Hender,1728,53
1514635018793437,Nordmørslista,Stig Anders Stensvik Ohrvik,1564,4
198148715581,Vestfold og Telemark FrP,Vestfold og Telemark FrP,1553,4
371106536283235,DAG OG TID,Dag og Tid AS,1051,4
44960467949,Greenpeace Norge,Föreningen Greenpeace Norden,993,48
20468812735,LO,LO,967,16
623596214494727,Anima - Stopp dyremishandling,Anima - stopp dyremishandling,886,3
108106430662575,Suscon As,Ronny Grindstein,715,8
103057921635136,Folkets Parti Bergen,Foreningen FNB Bergen,704,5
2398568533531114,Velferdsmiks,NHO Service og Handel,630,10
58473863651,Amnesty International Norway,Amnesty International Norge,453,2
176175415825122,apotek.no,Apotekforeningen,398,15
300127442096,Norske Kvinners Sanitetsforening,Norske Kvinners Sanitetsforening,396,2
417968848252894,Besteforeldrenes klimaaksjon,Besteforeldrenes Klimaaksjon,305,6
100722841311675,"Kristiansand Pensjonistparti - Barn, Familie og Pensjonist",Kristiansand Pensjonistparti,300,9
102560641840786,Preventio,Preventio,277,1
380405316155402,Stopp alzheimer og demens,Nasjonalforeningen for folkehelsen,246,2
21603349508,NOAH - for dyrs rettigheter,NOAH - for dyrs rettigheter,212,1
128566103830426,Civita,Civita AS,204,4
190913051002833,Nei til Atomvåpen,Nei til Atomvåpen,164,1
46818767155,Miljøpartiet De Grønne - MDG,Miljøpartiet De Grønne,155,2
752436708102132,Liberalistene,Liberalistene,146,1
693936813951302,SALT art & music,SALT art & music,141,1
109103902009501,Edvin Søvik - Ordførerkandidat for Ås Arbeiderparti,Edvin Søvik,133,1
157475710986651,Kvinnegruppa Ottar,Kvinnegruppa Ottar landsstyret,130,2
226417544192807,Tankesmien Agenda,Tankesmien Agenda,130,1
227688410297,Radio Latin-Amerika,Radio Latin-Amerika,130,2
154355981269798,HUMAN International Documentary Film Festival,Human Rights Human Wrongs AS,126,1
104701569617247,Arbeid & Inkludering,Arbeid & Inkludering,120,1
189429677833005,Lørenskog SV,Lørenskog Sosialistisk Venstreparti,119,1
186626994701210,Forbundet for Ledelse og Teknikk (FLT),Forbundet for Ledelse og Teknikk (FLT),117,5
536745556722065,Lillestrøm FrP,Lillestrøm FrP,104,1
104905208856666,Єдиний державний хаб зі збору доказів воєнних злочинів,These ads ran without a disclaimer,103,1
126448980866214,Klassekampen,Klassekampen AS,103,1
87445018334,Nobel Peace Center,Nobel Peace Center,≤100,2
58345093445,Natur og Ungdom,Natur og Ungdom,≤100,1
105939782037295,Altinget.no,Altinget AS,≤100,3
175438386701,Dagen,Dagbladet Dagen AS,≤100,1
201894056540131,Vefsn FrP,Bjørn Larsen,≤100,1
102203325950193,Ingvild Lemme Kristiansen,Stendi,≤100,8
100231879042950,Fylkesordførerkandidat Niklas Eriksen - FrP,Niklas Eriksen,≤100,1
34448777123,Haugesund Venstre,Bjørn Gunnar Husby,≤100,1
1281475135310961,Sissel Knutsen Hegdal - ordførerkandidat Høyre,Sissel Knutsen Hegdal,≤100,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,1
100168202468850,Ordfører Siri Martinsen,Fredrikstad Arbeiderparti,≤100,1
102040431616976,Beaufort Solutions,Beaufort Solutions,≤100,4
329215143807272,Trondheim Høyre,Trondheim Høyre,≤100,3
46448594983,Næringsforeningen i Stavanger-regionen,Næringsforeningen i Stavanger-regionen,≤100,2
291789484748906,Senter for hav og Arktis,Senter for hav og Arktis,≤100,2
725505594135727,Adventure Escape,These ads ran without a disclaimer,≤100,1
100398679612873,Ukraine Frontline Emergency Aid,These ads ran without a disclaimer,≤100,1
21967399403,Cappelen Damm,These ads ran without a disclaimer,≤100,2
718942011483190,Aftenposten Historie,Aftenposten,≤100,1
112631767587663,Meninger24,Meninger24,≤100,4
103285042293800,JesusFestivalen,JesusFestivalen,≤100,3
109481755758840,Trondheim SV,Trøndelag SV,≤100,1
54603926197,Finnmark SV,Troms og Finnmark SV,≤100,2
183670992404454,Evje og Hornnes SV,Agder SV,≤100,1
173034686082674,UiO - Det humanistiske fakultet,"Det humanistiske fakultet, Universitetet i Oslo",≤100,1
219119001471138,Våler SV (Hedmark),Innlandet SV,≤100,3
159084565236,Transit magasin,Transit Media AS,≤100,6
119797291429215,RIO - en landsdekkende brukerorganisasjon på rusfeltet,RIO - en landsdekkende brukerorganisasjon på rusfeltet,≤100,1
105616118716008,Nordre Aker FrP,Robin Bårdsen,≤100,1
105939459530874,Eidsvoll SV,EIDSVOLL SOSIALISTISK VENSTREPARTI,≤100,1
101165502746410,Ordførerkandidat - Kjetil Kivle,Ordførerkandidat - Kjetil Kivle,≤100,1
101165502746410,Ordførerkandidat - Kjetil Kivle,Ordførerkandidat - Kjetil Kivle,≤100,1
100722841311675,"Kristiansand Pensjonistparti - Barn, Familie og Pensjonist",These ads ran without a disclaimer,≤100,1
110647840532680,Merge Mayor,These ads ran without a disclaimer,≤100,1
224058237610836,Lørenskog Venstre,Lørenskog Venstre,≤100,1
112012974739174,Evren Ünal - By og Fylkesvalget Kristiansand Agder MDG 2023,Evren Ünal,≤100,1
857817357610536,Ørsta FrP,Tore Thon,≤100,1
100128419377311,Just For Her 3,These ads ran without a disclaimer,≤100,4
100885889429302,Verdinytt,Verdinytt AS,≤100,1
141790925915689,Medvind,These ads ran without a disclaimer,≤100,1
140556749292891,National Library of Israel,These ads ran without a disclaimer,≤100,1
316553905027100,Stefanusalliansen,Sindre Røyland,≤100,1
1430303507191895,Stange FrP,Jan Cato Berg Emilsen,≤100,1
108731807574685,Rødt Odal,Rødt Odal,≤100,1
717469565296513,Risør SV,Agder SV,≤100,1
764241357036366,Skaun Høyre,Skaun Høyre,≤100,1
101782866045184,History Buff,These ads ran without a disclaimer,≤100,1
669307523469574,EveryJew,These ads ran without a disclaimer,≤100,4
1744911689126391,12up,These ads ran without a disclaimer,≤100,1
103003239307231,Baltic Pipe,These ads ran without a disclaimer,≤100,1
110105907522931,bento_de_espinoza,These ads ran without a disclaimer,≤100,1
297004519250,The Script Lab,These ads ran without a disclaimer,≤100,1
106708708228342,School of Humanity,These ads ran without a disclaimer,≤100,1
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100,1
74872201965,Dan David Prize,These ads ran without a disclaimer,≤100,1
1722656998043900,Uniqkey A/S,These ads ran without a disclaimer,≤100,1
